INN,Target.s.,Indications.of.clinical.studies,Record.category,Most.advanced.stage.of.development..global.
Penpulimab,PD-1,"Hodgkin's disease, Hepatocellular carcinoma, MSI-H or dMMR Advanced Solid Tumors, Gastrointestinal Tumors, Urinary System Tumors, Neuroendocrine Tumors (single Phase 2 study); Hepatocellular Carcinoma, Non-small cell lung cancer, Nasopharyngeal Carcinoma, solid tumors",Approved,Approved
Eptinezumab,CGRP,Migraine prevention,Approved,Approved
Caplacizumab,von Willebrand factor,"Acquired Thrombotic Thrombocytopenic Purpura, Unstable Angina;   Non-ST Segment Elevation Myocardial Infarction (NSTEMI);   Stable Angina (Associated With High Risk PCI), Thrombotic Thrombocytopenic Purpura",Approved,Approved
Ravulizumab,Complement C5,"Neuromyelitis Optica Spectrum Disorder, Generalized myasthenia gravis, Paroxysmal Nocturnal Hemoglobinuria, Atypical Hemolytic Uremic Syndrome",Approved,Approved
Evolocumab,PCSK9,"Hypercholesterolemia and High Risk for Cardiovascular Events, homozygous familial hypercholesterolemia",Approved,Approved
Denosumab,RANK-L,"Osteoporosis, Breast Cancer With Bone Metastasis",Approved,Approved
Erenumab,CGRP receptor,"Migraine, Vasomotor Symptoms; Hot Flashes",Approved,Approved
Romosozumab,Sclerostin,"Postmenopausal Osteoporosis, Fracture Healing",Approved,Approved
Brodalumab,IL-17RA,"Systemic Sclerosis, Palmoplantar Pustulosis, Rheumatoid Arthritis, Psoriatic Arthritis, Asthma, Psoriasis, Crohn's Disease",Approved,Approved
Tezepelumab,TSLP,"Chronic Rhinosinusitis With Nasal Polyps, COPD, asthma, cat allergy, Atopic Dermatitis",Approved,Approved
Natalizumab,Integrin alpha-4,"Multiple sclerosis, Crohn's disease, ulcerative colitis",Approved,Approved
Dinutuximab,GD2,Neuroblastoma,Approved,Approved
Enfortumab vedotin,Nectin-4,Metastatic Urothelial Cancer and Other Malignant Solid Tumors,Approved,Approved
Eculizumab,Complement C5,"Membranous Nephritis, Rheumatoid Arthritis, Lupus, Psoriasis, Dermatomyositis",Approved,Approved
"Cilgavimab, Tixagevimab",SARS-CoV-2 (spike protein),COVID-19,Approved,Approved
Lecanemab,Amyloid beta (protofibrils),Alzheimer's Disease,Approved,Approved
Netakimab,IL-17A,"Ankylosing Spondylitis, Psoriasis, psoriatic arthritis",Approved,Approved
Levilimab,IL-6R,"COVID-19, rheumatoid arthritis, Phase 1 in healthy volunteers",Approved,Approved
Prolgolimab,PD-1,"Non-small cell lung cancer, Melanoma, Solid tumors",Approved,Approved
Divozilimab,CD20,"Neuromyelitis Optica Spectrum Disorders, Systemic Scleroderma, Multiple sclerosis",Approved,Approved
Tislelizumab,PD-1,"Bladder cancer, esophageal Squamous Cell Carcinoma, Hepatocellular Carcinoma, Non-small cell lung cancer, Hodgkin lymphoma, liver cancer, Advanced Cancer",Approved,Approved
Idarucizumab,Dabigatran,Hemorrhage caused by anticoagulation effect of dabigatran,Approved,Approved
Spesolimab,IL-36R,"Hidradenitis Suppurativa, Crohn's disease, palmoplantar pustulosis, Generalized pustular psoriasis, ulcerative colitis, atopic dermatitis",Approved,Approved
Aducanumab,Amyloid beta,Alzheimer's Disease,Approved,Approved
Sutimlimab,Complement C1s,"Idiopathic Thrombocytopenic Purpura, Chronic immune thrombocytopenia, Complement-mediated disorders",Approved,Approved
Elotuzumab,SLAMF7,Multiple Myeloma,Approved,Approved
Relatlimab,LAG-3,"Multiple myeloma, melanoma, gastric cancer, colorectal cancer, glioblastoma, non-small cell lung cancer, solid tumors,  Chronic lymphocytic leukemia and lymphomas",Approved,Approved
Mosunetuzumab,"CD20, CD3","
Systemic Lupus Erythematosus, Chronic Lymphocytic Leukemia, Follicular Lymphoma, Diffuse Large B-cell Lymphoma, Non-Hodgkin's Lymphoma, NHL and Chronic Lymphocytic Leukemia (first Phase 1)",Approved,Approved
Alemtuzumab,CD52,"Multiple sclerosis, chronic lymphocytic leukemia",Approved,Approved
Tralokinumab,IL-13,"Atopic dermatitis, Asthma, Idiopathic Pulmonary Fibrosis, Ulcerative Colitis",Approved,Approved
Olokizumab,IL-6,"COVID-19, Crohn's Disease, Rheumatoid Arthritis",Approved,Approved
Certolizumab pegol,TNF,"Rheumatoid arthritis, Crohn's disease ",Approved,Approved
Infliximab,TNF,"Rheumatoid arthritis, Crohn's disease, ulcerative colitis",Approved,Approved
Reslizumab,IL-5,"Eosinophilic Asthma, Eosinophilic Esophagitis",Approved,Approved
Basiliximab,CD25,Transplant rejection,Approved,Approved
Nemolizumab ,IL-31R alpha,"Systemic sclerosis, Chronic Kidney Disease Associated Severe Pruritus, Prurigo Nodularis, Atopic dermatitis, pruritus in dialysis patients",Approved,Approved
Gemtuzumab ozogamicin,CD33, Acute myeloid leukemia ,Approved,Approved
Inotuzumab ozogamicin,CD22,"non-Hodgkin Lymphoma, Acute Lymphoblastic Leukemia, Diffuse Large B-Cell Lymphoma",Approved,Approved
Guselkumab,IL-23p19,"Lupus Nephritis, Palmoplantar Pustulosis, Psoriasis, Rheumatoid arthritis",Approved,Approved
Ustekinumab,IL-12/23 p40,"Atopic dermatitis, Psoriasis, Crohn's disease, multiple sclerosis, sarcoidosis, psoriatic arthritis",Approved,Approved
Golimumab,TNF,"Rheumatoid arthritis, asthma, ulcerative colitis, ankylosing spondylitis, Sarcoidosis",Approved,Approved
Siltuximab,IL-6,"COVID-19, Multiple Myeloma, Multicentric Castleman's Disease, Ovarian Neoplasms;   Pancreatic Neoplasms;   Colorectal Neoplasms;   Head and Neck Neoplasms;   Lung Neoplasms, Prostate cancer, Renal cell carcinoma, Myelodysplastic Syndrome",Approved,Approved
Tremelimumab,CTLA-4,"Small cell lung cancer, Colorectal Neoplasms, Malignant Mesothelioma, Prostate cancer, Bladder cancer, Melanoma, Hepatocellular Carcinoma ",Approved,Approved
Sugemalimab ,PD-L1,"Head and neck cancer, endometrial cancer, small cell lung cancer, gastric cancer, non-small cell lung cancer, solid tumors, lymphomas",Approved,Approved
Regdanvimab,SARS-CoV-2 (spike protein),COVID-19,Approved,Approved
Adalimumab,TNF,Rheumatoid arthritis,Approved,Approved
"Trastuzumab deruxtecan, [fam]-Trastuzumab deruxtecan ",HER2,"Colorectal cancer, gastric cancer, HER2+ breast cancer, Urothelial Carcinoma, Advanced solid tumors",Approved,Approved
Itolizumab,CD6,"Graft v host disease, Lupus nephritis, Plaque psoriasis, rheumatoid arthritis",Approved,Approved
Obiltoxaximab,B. anthracis (PA),Inhalational anthrax,Approved,Approved
Epcoritamab,"CD20, CD3","Diffuse Large B-Cell Lymphoma, Follicular lymphoma, Non-Hodgkin's lymphoma, chronic Lymphocytic Leukemia, Hematologic cancers",Approved,Approved
Serplulimab,PD-1,"Colorectal cancer, Hepatocellular Carcinoma, Triple Negative Breast Cancer, Hepatitis B, Small Cell Lung Cancer, Squamous Non-Small Cell Lung Cancer, Esophageal Squamous Cell Carcinoma, Cancer",Approved,Approved
Zuberitamab,CD20,"Primary immune thrombocytopenia, B cell lymphoma",Approved,Approved
Naxitamab,GD2,Neuroblastoma; osteosarcoma,Approved,Approved
Ofatumumab,CD20,"Chronic Lymphocytic Leukemia, Waldenstrom Macroglobulinaemia, rheumatoid arthritis, large-cell diffuse lymphoma, follicular lymphoma, multiple sclerosis",Approved,Approved
Daratumumab,CD38,Multiple Myeloma,Approved,Approved
Tisotumab vedotin,Tissue factor,"Cervical cancer, Solid tumors",Approved,Approved
Nimotuzumab,EGFR,"Head and neck cancer, nasopharyngeal cancer, glioma, Esophageal cancer, pancreatic cancer, non-small cell lung cancer",Approved,Approved
Pucotenlimab,PD-1,"Non-small Cell Lung Cancer, melanoma, Hepatocellular Carcinoma, Bladder Cancer, Melanoma, Anaplastic Thyroid Cancer, gastric cancer, solid tumors",Approved,Approved
Tafolecimab,PCSK9,Hypercholesterolemia,Approved,Approved
Sintilimab,PD-1,"Liver cancer, gastric cancer, solid tumors, non-small cell lung cancer, Esophageal cancer, Hodgkin's lymphoma",Approved,Approved
Rituximab,CD20,Non-Hodgkin's  B-cell lymphoma,Approved,Approved
Ibritumomab tiuxetan,CD20,Non-Hodgkin's  B-cell lymphoma,Approved,Approved
Ramucirumab,VEGFR2,"Gastric Cancer;   Adenocarcinoma, Hepatocellular Carcinoma, breast cancer, Colorectal Cancer, Non-Small Cell Lung Cancer, Prostate Cancer, melanoma, Stomach Cancer;   Esophageal Cancer, Carcinoma of Urinary Tract;   Urethral Carcinoma; Carcinoma of Ureter;  Carcinoma of Renal Pelvis",Approved,Approved
Necitumumab,EGFR,"Non Small Cell Lung Cancer, Metastatic Colorectal Cancer, Solid Tumors",Approved,Approved
Cetuximab,EGFR,"Head and neck cancer, colorectal, non-small cell lung cancer",Approved,Approved
Tebentafusp,"CD3, gp100","Uveal melanoma, malignant melanoma",Approved,Approved
Mirvetuximab soravtansine,FR alpha,"Epithelial malignancies e.g., ovarian cancer adenocarcinoma",Approved,Approved
Sacituzumab govitecan,TROP-2,"Triple negative breast cancer, metastatic urothelial cancer, Advanced Epithelial Cancers",Approved,Approved
Retifanlimab,PD-1,"Head & neck cancer, Urothelial Carcinoma, Squamous Cell Carcinoma of the Anal Canal, Triple negative breast cancer, Liposarcoma, Penile Cancer, Glioblastoma, Non-small cell lung cancer, Pancreatic Cancer, Merkel cell carcinoma, squamous cell carcinoma, Colorectal cancer, advanced solid tumors",Approved,Approved
Camrelizumab,PD-1,"Esophageal Carcinoma, Hepatocellular Carcinoma, non-small cell lung cancer, melanoma, Advanced solid tumors, Nasopharyngeal Carcinoma, Hodgkin lymphoma, breast cancer, incl. triple-negative",Approved,Approved
Narlumosbart,RANK-L,"Giant Cell Tumor of Bone, Refractory Hypercalcemia of Malignancy, Bone metastases, osteoporosis",Approved,Approved
Amivantamab,"EGFR, cMET","Colorectal cancer, non-small cell lung cancer, gastric or esophageal cancer",Approved,Approved
Teclistamab,"BCMA, CD3",Multiple myeloma,Approved,Approved
Talquetamab,"GPRC5D, CD3",Multiple myeloma,Approved,Approved
Pabinafusp alfa,TfR,Hunter syndrome (mucopolysaccharidosis II),Approved,Approved
Toripalimab ,PD-1,"Non-small cell lung cancer; advanced solid tumors, breast cancer, melanoma, bladder cancer, neuroendocrine, Phase 1/2 study including Gastric Adenocarcinoma;   Esophageal Squamous Cell Carcinoma;  Nasopharyngeal Carcinoma;   Head and Neck Squamous Cell Carcinoma",Approved,Approved
Benralizumab,IL-5R alpha,"Atopic dermatitis, Eosinophilic Esophagitis, Asthma, Chronic Obstructive Pulmonary Disease",Approved,Approved
Envafolimab,PD-L1,"HIV infection, Metastatic or recurrent non-microsatellite highly unstable (non-MSI-H)/non-DNA mismatch repair defect (non-dMMR) endometrial cancer, Undifferentiated Pleomorphic Sarcoma, Hepatitis B, Bile tract carcinoma, solid tumors",Approved,Approved
Burosumab,FGF23,X-linked Hypophosphatemia,Approved,Approved
Mogamulizumab,CCR4,"Adult T-Cell leukemia and lymphoma, Non-Small Cell Lung Cancer, Peripheral T-Cell Lymphoma, Cutaneous T-Cell Lymphoma",Approved,Approved
Ixekizumab,IL-17A,"Psoriatic arthritis, Rheumatoid Arthritis, Psoriasis",Approved,Approved
Galcanezumab,CGRP,Migraine,Approved,Approved
Mirikizumab,IL-23p19,"Ulcerative colitis, psoriasis, Crohn's disease",Approved,Approved
Ansuvimab,Ebola virus glycoprotein,Ebola infection,Approved,Approved
Ipilimumab,CTLA-4,"Melanoma; lung, liver, brain, prostate, pancreatic, head & neck cancers",Approved,Approved
Nivolumab,PD-1,"Renal Cell Carcinoma, Malignant Melanoma, Non-small Cell Lung Cancer, Prostrate Cancer, hematologic malignancy, Hepatitis C ",Approved,Approved
Bezlotoxumab,C. difficile (enterotoxin B),Clostridium Difficile Infection,Approved,Approved
Palivizumab,RSV (F glycoprotein),Prevention of RSV infection In high risk infants,Approved,Approved
Durvalumab,PD-L1,"Bladder cancer, Head & neck cancer, Non-small cell lung cancer; Solid tumors (advanced malignant melanoma, renal cell carcinoma, non-small cell lung cancer, or colorectal cancer)",Approved,Approved
Anifrolumab,IFNAR1,"Systemic Lupus Erythematosus, Scleroderma",Approved,Approved
Nirsevimab,RSV,Respiratory syncytial virus,Approved,Approved
Margetuximab,HER2,"HER2 Positive Cancers (breast, gastric)",Approved,Approved
Pembrolizumab,PD-1,"Solid Tumors, Melanoma, colorectal cancer, non-small cell lung cancer, hematological cancers, renal cancer",Approved,Approved
Vedolizumab,Integrin alpha-4 beta-7,"Colitis, Crohn's Disease",Approved,Approved
Tocilizumab,IL-6R,"COVID-19, Giant lymph node hyperplasia (Castleman's Disease), rheumatoid arthritis, multiple myeloma",Approved,Approved
Avelumab,PD-L1,"Gastric cancer, ovarian cancer, non-small cell lung cancer, Merckel cell carcinoma, Solid tumors, renal cell cancer",Approved,Approved
Inebilizumab,CD19,"IgG4 Related Disease, Myasthenia Gravis, Neuromyelitis Optica, Chronic Lymphocytic Leukemia, Diffuse Large B-Cell Lymphoma, Scleroderma, Multiple Sclerosis",Approved,Approved
Blinatumomab,"CD19, CD3","B-precursor Acute Lymphoblastic Leukemia, non-Hodgkin lymphoma",Approved,Approved
Emapalumab,IFN gamma,Primary Hemophagocytic Lymphohistiocytosis; Phase 1 in heathy volunteers,Approved,Approved
Ormutivimab,Rabies virus (glycoprotein),Rabies (post-exposure),Approved,Approved
Concizumab,Tissue factor pathway inhibitor,"Haemophilia A and B With and Without Inhibitors, Hemophilia A",Approved,Approved
Elranatamab,"BCMA, CD3",Multiple myeloma,Approved,Approved
Teplizumab,CD3,"Type 1 Diabetes Mellitus, Diabetes",Approved,Approved
"Docaravimab, Miromavimab",Rabies virus (glycoprotein),Rabies (post-exposure),Approved,Approved
Disitamab vedotin,HER2,"Melanoma, Biliary Tract Cancer, Non-Small Cell Lung Cancer, Urothelial Carcinoma, HER2-overexpressing solid tumors (gastric, urothelial), breast cancer",Approved,Approved
"Casirivimab, imdevimab",SARS-CoV-2 (spike protein),COVID-19,Approved,Approved
Evinacumab,ANGPTL3,"Homozygous Familial Hypercholesterolemia, Hypertriglyceridemia, Hypercholesterolemia",Approved,Approved
Cemiplimab,PD-1,"Cervical cancer, Head and neck cancers, Non-small cell lung cancer, Plasma cell myeloma, Basal cell carcinoma, Advanced Cutaneous Squamous Cell Carcinoma, Lymphoma, solid tumors, melanoma, renal cancer",Approved,Approved
Pozelimab,Complement C5,"Generalized Myasthenia Gravis, CD55-deficient Protein-losing Enteropathy, Paroxysmal nocturnal hemoglobinuria, Phase 1 in health volunteers, intended for ocular inflammatory and retinal degenerative diseases",Approved,Approved
Dupilumab,IL-4R alpha,"Nasal Polyps, atopic dermatitis, Asthma",Approved,Approved
Alirocumab,PCSK9,High cholesterol,Approved,Approved
Sarilumab,IL-6R,"COVID-19, Rheumatoid Arthritis, Ankylosing Spondylitis,",Approved,Approved
"Atoltivimab, odesivimab, Maftivimab",Ebola virus glycoprotein,Ebola infection,Approved,Approved
Ocrelizumab,CD20,"Rheumatoid Arthritis, Multiple Sclerosis, Systemic Lupus Erythematosus, Lupus Nephritis",Approved,Approved
Lebrikizumab,IL-13,"Atopic dermatitis, Idiopathic pulmonary fibrosis, Asthma, Hodgkin's Lymphoma",Approved,Approved
Atezolizumab,PD-L1,"Bladder cancer, Renal cell carcinoma, Non-small cell lung cancer, Melanoma, Solid tumors, multiple myeloma",Approved,Approved
Polatuzumab vedotin,CD79b,"Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia, Follicular Lymphoma or Diffuse Large B-Cell Lymphoma ",Approved,Approved
Ranibizumab,VEGF,Neovascular age-related macular degeneration,Approved,Approved
Omalizumab,IgE,"Asthma, allergic rhinitis",Approved,Approved
Bevacizumab,VEGF,"Renal Cell Carcinoma, colorectal, breast cancer",Approved,Approved
Cetuximab saratolacan,EGFR,Head and neck squamous cell carcinomas,Approved,Approved
Obinutuzumab,CD20,"Diffuse Large B Cell Lymphoma, Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma",Approved,Approved
Faricimab,"Ang-2, VEGF","Wet age-related macular degeneration, Choroidal Neovascularization, Diabetic Macular Edema",Approved,Approved
Glofitamab,"CD20, CD3e","Diffuse Large B-cell Lymphoma, Follicular Lymphoma, Non-Hodgkin's lymphoma",Approved,Approved
Brolucizumab,VEGF,"Diabetic macular edema, Neovascular Age-related Macular Degeneration",Approved,Approved
Teprotumumab,IGF-1R,"Diffuse Cutaneous Systemic Sclerosis, Graves' Ophthalmopathy, Diabetic macular edema, Active thyroid eye disease (terminated for cancer indications Solid tumors, sarcoma, breast cancer, non-small cell lung cancer)",Approved,Approved
Satralizumab,IL-6R,"Neuromyelitis Optica (NMO) and NMO Spectrum Disorder (NMOSD), Rheumatoid arthritis",Approved,Approved
Isatuximab,CD38,"Plasma cell myeloma, multiple myeloma, T-cell Type Acute Leukemia-Precursor T-lymphoblastic Lymphoma/Leukaemia, Hematological cancers",Approved,Approved
Mepolizumab,IL-5,"Atopic dermatitis, Chronic obstructive pulmonary disease, Hypereosinophilic Syndrome, Asthma, Eosinophilic Oesophagitis, Eosinophilic Granulomatosis with Polyangiitis (aka Churg Strauss Syndrome), Nasal Polyps",Approved,Approved
Tildrakizumab,IL-23p19,"Psoriasis,  Ankylosing spondylitis and Non-Radiographic Axial Spondyloarthritis, Psoriatic Arthritis ",Approved,Approved
Ripertamab,CD20,Non-Hodgkin's lymphoma,Approved,Approved
Crizanlizumab,P-selectin,"COVID-19, Phase 1 in healthy subjects, vasoocclusion in sickle cell disease",Approved,Approved
Brentuximab vedotin,CD30,"Hodgkin's lymphoma, anaplastic large cell lymphoma, germ cell tumors, mesothelioma, lymphatic diseases, systemic lupus erythematosus",Approved,Approved
Lanadelumab,Plasma kallikrein,"COVID-19, Hereditary angioedema attacks",Approved,Approved
Adebrelimab,PD-L1,"Gastric cancer, Breast cancer, Non-small cell lung cancer, Small cell lung cancer, Solid tumors",Approved,Approved
Crovalimab,Complement C5,"Sickle cell disease, Atypical Hemolytic Uremic Syndrome, Paroxysmal Nocturnal Hemoglobinuria",Approved,Approved
Fremanezumab,CGRP,Migraine (episodic and chronic),Approved,Approved
Ublituximab,CD20,"Multiple sclerosis, non-Hodgkins Lymphoma, Chronic Lymphocytic Leukemia, neuromyelitis optica and neuromyelitis optica spectrum disorder",Approved,Approved
Ibalizumab,CD4,HIV Infections,Approved,Approved
"Trastuzumab emtansine, ado-trastuzumab emtansine",HER2,"Breast cancer, gastric cancer",Approved,Approved
Ozoralizumab,"TNF, Albumin",Rheumatoid Arthritis,Approved,Approved
Dostarlimab,PD-1,"Breast cancer, Ovarian cancer, Rectal Adenocarcinoma, solid tumors, endometrial cancer",Approved,Approved
Bimekizumab,"IL-17A, IL-17F","Hidradenitis Suppurativa, Psoriasis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis",Approved,Approved
Rozanolixizumab,FcRn,"Leucine-Rich Glioma Inactivated 1 Autoimmune Encephalitis, Generalized Myasthenia Gravis, Chronic Inflammatory Demyelinating Polyradiculoneuropathy, Primary immune thrombocytopenia, Myasthenia gravis ",Approved,Approved
Sotrovimab,SARS-CoV-2 (spike protein),COVID-19,Approved,Approved
Tafasitamab,CD19,"Mantle cell lymphoma, Diffuse Large B-cell Lymphoma, CLL, ALL, NHL",Approved,Approved
Socazolimab,PD-L1,"Biliary Tract Cancer, Urothelial Carcinoma, Esophageal Squamous Cell Carcinoma, Osteosarcoma, Small Cell Lung Cancer, Solid tumors, cervical cancer",Approved,Approved
Belimumab,BAFF,"Systemic Lupus Erythematosus, rheumatoid arthritis, Sjögren's Syndrome, Symptomatic Waldenstroms Macroglobulinaemia, Normalization of Alloantibody Levels in Sensitized Patients Awaiting Kidney Transplantation",Approved,Approved
Trastuzumab,HER2,"Breast, ovarian Cancer",Approved,Approved
Trinbelimab,Rhesus D,Hemolytic disease of newborn,Approved,Approved
Bavituximab,Phosphatidylserine,"Liver Cancer, Pancreatic Cancer, breast cancer, solid tumors, Non-small-cell Lung Cancer, hepatitis C, ",Terminated,Phase 3
Bulumtatug fuvedotin,Nectin-4,"Cervical Cancer, Triple-Negative Breast Cancer, Urothelial Carcinoma, Solid tumors",Clinical,Phase 3
Domvanalimab,TIGIT,"Head and neck carcinoma, Gastrointestinal Tract Malignancies, Melanoma, Non-small Cell Lung Cancer, Advanced malignancies",Clinical,Phase 3
Livmoniplimab,GARP/TGF beta complex,"NSCLC, Hepatocellular Carcinoma, Solid tumors",Clinical,Phase 2/3
Budigalimab,PD-1,"NSCLC, Gastric, Gastroesophageal Junction, or Esophageal Adenocarcinoma, Hepatocellular Carcinoma, Head and neck cancer, Solid tumors, ovarian cancer, colorectal cancer, HIV",Clinical,Phase 2/3
Etentamig,"BCMA, CD3",Multiple myeloma,Clinical,Phase 3
Telisotuzumab vedotin,cMET,"Non-small cell lung cancer, advanced solid tumors",Regulatory review,Regulatory review
Telisotuzumab adizutecan,cMET,"Gastric, Gastroesophageal Junction, or Esophageal Adenocarcinoma, Colorectal cancer, Solid tumors, Non-small cell lung cancer",Clinical,Phase 3
Lemzoparlimab ,CD47,"Myelodysplastic syndrome, Acute Myeloid Leukemia, Solid tumors or lymphomas",Clinical,Phase 3
Ulviprubart,KLRG1,"Inclusion Body Myositis, T-cell Large Granular Lymphocytic Leukemia",Clinical,Phase 2/3
Lutikizumab,"IL-1 alpha, IL-1 beta","Psoriatic Arthritis, Ulcerative colitis, Hidradenitis Suppurativa, Osteoarthritis",Clinical,Phase 3
Glenzocimab,GP VI,"Heart attack, Acute Ischemic Stroke, COVID-19, thrombotic diseases",Clinical,Phase 2/3
Botensilimab,CTLA-4,"Pancreatic cancer, Colorectal cancer, Melanoma, Advanced cancer",Clinical,Phase 2
Balstilimab,PD-1,"Angiosarcoma, Advanced Solid Tumors, With Expansion to Second-Line Cervical Cancer",Clinical,Phase 2
Pulocimab,VEGFR2,"Gastric Adenocarcinoma and Gastroesophageal Junction Adenocarcinoma, Solid tumors",Clinical,Phase 3
Gumokimab,IL-17A,"Psoriasis, ankylosing spondylitis",Regulatory review,Regulatory review
Ligufalimab,CD47,"Head & neck cancer, Higher-risk myelodysplastic syndrome, Gastric or Gastroesophageal Junction Adenocarcinoma, Colorectal Cancer, Triple-negative Breast Cancer, Acute Myeloid Leukemia, Myelodysplastic Syndrome, Solid Tumors or Lymphomas",Clinical,Phase 3
Manfidokimab,IL-4R alpha,"Asthma, Atopic Dermatitis, Phase 1 in healthy subjects",Clinical,Phase 3
Gefurulimab,"Complement C5, Albumin","Generalized Myasthenia Gravis, Proteinuria, Phase 1 in healthy volunteers",Clinical,Phase 3
Maridebart cafraglutide,"GIPR, GLP-1R","Type 2 Diabetes Mellitus, Obesity",Clinical,Phase 3
Xaluritamig,"STEAP1, CD3",Prostate cancer,Clinical,Phase 3
Imsidolimab,IL-36R,"Ichthyosis, EGFRi/MEKi-associated acneiform rash, Generalized pustular psoriasis, Phase 1 in healthy volunteers",Clinical,Phase 3
Potravitug,BK virus,BK virus infection,Clinical,Phase 2/3
Delpacibart etedesiran,TfR,Myotonic dystrophy,Clinical,Phase 3
Suvemcitug,VEGF,"Ovarian Cancer, macular degeneration",Regulatory review,Regulatory review
Tosatoxumab,S. aureus alpha toxin,"Secondary S. aureus bacterial pneumonia in COVID-19 patients, Pneumonia Due to Staphylococcus Aureus",Clinical,Phase 3
Suvratoxumab,S. aureus alpha toxin,Prevention of pneumonia caused by bacterial infection with Staphylococcus aureus in high-risk patients,No development reported,Phase 3
Empasiprubart,Complement C2,"Multifocal Motor Neuropathy, Dermatomyositis, Delayed Graft Function, Multifocal Motor Neuropathy, Phase 1 is in healthy volunteers",Clinical,Phase 3
Anvatabart opadotin,HER2,"HER2-positive, Metastatic Breast Cancer, Advanced Cancers With HER2 Expression",Clinical,Phase 3
Ficlatuzumab,HGF,"Pancreatic cancer, Head and neck cancer, Acute Myeloid Leukemia, Non-Small Cell-Lung cancer, Solid Tumor; Lymphomas; Multiple Myeloma",Clinical,Phase 3
Rilvegostomig,"PD-1, TIGIT","HER2+ gastric cancer, Biliary tract cancer, Non-small cell lung cancer",Clinical,Phase 3
Sipavibart,SARS-CoV-2 (spike protein),Pre Exposure Prophylaxis of COVID-19,Regulatory review,Regulatory review
Ficerafusp alfa,"EGFR, TGF beta","Head and Neck Squamous Cell Carcinoma, EGFR-Driven Advanced Solid Tumors",Clinical,Phase 2/3
Seniprutug,TCR Vbeta9,"Ankylosing Spondylitis, Axial Spondyloarthritis, Phase 1 in healthy volunteers",Approved,Approved
Nurulimab,CTLA-4,Melanoma,Approved,Approved
Ociperlimab,TIGIT,"Diffuse Large B-cell Lymphoma, Non-small cell lung cancer, Esophageal Squamous Cell Carcinoma, Solid tumors",Clinical,Phase 3
Litifilimab,BDCA2,"Cutaneous Lupus Erythematosus, Systemic Lupus Erythematosus ",Clinical,Phase 3
Izalontamab brengitecan,"EGFR, HER3","Chordoma, Glioblastoma, Small cell lung cancer, Head and Neck Squamous Cell Carcinoma, Urothelial Carcinoma, Triple-neg breast cancer, Non-small cell lung cancer (EGFR wild-type), Esophageal squamous cell carcinoma, Cervical cancer, Nasopharyngeal Carcinoma, Non-small Cell Lung Cancer With EGFR-sensitive Mutations, Gynecological Malignant Tumor, Urinary tract cancer, Breast cancer, Gastrointestinal Tumors, Solid tumors",Clinical,Phase 3
Gotistobart,CTLA-4,"
Metastatic Castration-Resistant Prostate Cancer, Ovarian cancer, Solid tumors",Clinical,Phase 3
Bosakitug,TSLP,"Chronic Obstructive Pulmonary Disease, Asthma, Atopic dermatitis",Clinical,Phase 3
Anselamimab,Amyloid light chain,Amyloid light chain amyloidosis,Clinical,Phase 3
Rademikibart,IL-4R alpha,"Atopic dermatitis, asthma, Chronic Rhinosinusitis With Nasal Polyps",Clinical,Phase 3
