"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"CPR:10","Protein","NOT","Arg1:T16 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:10","Protein","NOT","Arg1:T16 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:10","Protein","NOT","Arg1:T1 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:10","Protein","NOT","Arg1:T2 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:10","Protein","NOT","Arg1:T3 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:10","Protein","NOT","Arg1:T4 , Arg2:T26","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T1 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:2","Protein","REGULATOR","Arg1:T5 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","DOWNREGULATOR","Arg1:T18 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T15 , Arg2:T35","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T17 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INHIBITOR","Arg1:T10 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INHIBITOR","Arg1:T11 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INHIBITOR","Arg1:T15 , Arg2:T34","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INHIBITOR","Arg1:T4 , Arg2:T27","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:4","Protein","INHIBITOR","Arg1:T5 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10200320
"CPR:2","Protein","REGULATOR","Arg1:T1 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T1 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T2 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T2 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T3 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T3 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T4 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:2","Protein","REGULATOR","Arg1:T4 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:3","Protein","ACTIVATOR","Arg1:T14 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:3","Protein","UPREGULATOR","Arg1:T7 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T10 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T11 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T12 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T13 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T14 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T14 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T15 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T15 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T5 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T6 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T8 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T9 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T10 , Arg2:T25","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T11 , Arg2:T25","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T27","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T13 , Arg2:T27","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T15 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T1 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T3 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:4","Protein","INHIBITOR","Arg1:T4 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10207608
"CPR:10","Protein","NOT","Arg1:T10 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:2","Protein","INDIRECT-REGULATOR","Arg1:T1 , Arg2:T19","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:2","Protein","INDIRECT-REGULATOR","Arg1:T2 , Arg2:T19","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:2","Protein","REGULATOR","Arg1:T12 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:2","Protein","REGULATOR","Arg1:T13 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:2","Protein","REGULATOR","Arg1:T9 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T4 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T7 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T5 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T6 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:5","Protein","AGONIST","Arg1:T2 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:6","Protein","ANTAGONIST","Arg1:T11 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10225363
"CPR:2","Protein","REGULATOR","Arg1:T13 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:2","Protein","REGULATOR","Arg1:T14 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:2","Protein","REGULATOR","Arg1:T4 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T10 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T9 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T13 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T14 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T15 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T15 , Arg2:T25","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T16 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T16 , Arg2:T25","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T4 , Arg2:T17","Protein","Chemprot","Protein-Protein Interaction",10328230
"CPR:4","Protein","INHIBITOR","Arg1:T11 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T35","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T13 , Arg2:T35","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T16 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T17 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T18 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T19 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T24 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T24 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T24 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:4","Protein","INHIBITOR","Arg1:T24 , Arg2:T38","Protein","Chemprot","Protein-Protein Interaction",10340919
"CPR:1","Protein","PART-OF","Arg1:T1 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:1","Protein","PART-OF","Arg1:T2 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:1","Protein","PART-OF","Arg1:T4 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:1","Protein","PART-OF","Arg1:T5 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:4","Protein","INHIBITOR","Arg1:T10 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T11 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T12 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T20 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T20 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T21 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T21 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T6 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T7 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T8 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:9","Protein","SUBSTRATE","Arg1:T9 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10373451
"CPR:8","Protein","COFACTOR","Arg1:T5 , Arg2:T14","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:8","Protein","COFACTOR","Arg1:T6 , Arg2:T14","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:9","Protein","PRODUCT-OF","Arg1:T4 , Arg2:T8","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:9","Protein","PRODUCT-OF","Arg1:T4 , Arg2:T9","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:9","Protein","PRODUCT-OF","Arg1:T5 , Arg2:T12","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:9","Protein","PRODUCT-OF","Arg1:T5 , Arg2:T13","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:9","Protein","PRODUCT-OF","Arg1:T6 , Arg2:T12","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:9","Protein","PRODUCT-OF","Arg1:T6 , Arg2:T13","Protein","Chemprot","Protein-Protein Interaction",10381000
"CPR:2","Protein","REGULATOR","Arg1:T2 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10398211
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10398211
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10398211
"CPR:4","Protein","INHIBITOR","Arg1:T1 , Arg2:T16","Protein","Chemprot","Protein-Protein Interaction",10398211
"CPR:4","Protein","INHIBITOR","Arg1:T1 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10398211
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T7 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T7 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T8 , Arg2:T28","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T8 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T16 , Arg2:T38","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T16 , Arg2:T39","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T22 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T22 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T5 , Arg2:T27","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T9 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T9 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:5","Protein","AGONIST","Arg1:T1 , Arg2:T44","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:6","Protein","ANTAGONIST","Arg1:T17 , Arg2:T40","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:6","Protein","ANTAGONIST","Arg1:T18 , Arg2:T41","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:6","Protein","ANTAGONIST","Arg1:T20 , Arg2:T42","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:6","Protein","ANTAGONIST","Arg1:T23 , Arg2:T43","Protein","Chemprot","Protein-Protein Interaction",10401556
"CPR:2","Protein","REGULATOR","Arg1:T8 , Arg2:T43","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:2","Protein","REGULATOR","Arg1:T9 , Arg2:T43","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:4","Protein","INHIBITOR","Arg1:T11 , Arg2:T45","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:4","Protein","INHIBITOR","Arg1:T20 , Arg2:T40","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:4","Protein","INHIBITOR","Arg1:T20 , Arg2:T42","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:9","Protein","SUBSTRATE","Arg1:T16 , Arg2:T40","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:9","Protein","SUBSTRATE","Arg1:T16 , Arg2:T42","Protein","Chemprot","Protein-Protein Interaction",10403635
"CPR:2","Protein","REGULATOR","Arg1:T10 , Arg2:T19","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:2","Protein","REGULATOR","Arg1:T10 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:4","Protein","INHIBITOR","Arg1:T13 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:4","Protein","INHIBITOR","Arg1:T5 , Arg2:T16","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:4","Protein","INHIBITOR","Arg1:T6 , Arg2:T17","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:4","Protein","INHIBITOR","Arg1:T7 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10406837
"CPR:1","Protein","PART-OF","Arg1:T17 , Arg2:T27","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T16 , Arg2:T26","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T22 , Arg2:T29","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T5 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T6 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T7 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","REGULATOR","Arg1:T10 , Arg2:T24","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","REGULATOR","Arg1:T18 , Arg2:T27","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:9","Protein","SUBSTRATE","Arg1:T15 , Arg2:T26","Protein","Chemprot","Protein-Protein Interaction",10411647
"CPR:2","Protein","REGULATOR","Arg1:T10 , Arg2:T17","Protein","Chemprot","Protein-Protein Interaction",10444166
"CPR:3","Protein","UPREGULATOR","Arg1:T11 , Arg2:T18","Protein","Chemprot","Protein-Protein Interaction",10444166
"CPR:3","Protein","UPREGULATOR","Arg1:T12 , Arg2:T19","Protein","Chemprot","Protein-Protein Interaction",10444166
"CPR:10","Protein","NOT","Arg1:T12 , Arg2:T34","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:10","Protein","NOT","Arg1:T8 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:10","Protein","NOT","Arg1:T8 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:10","Protein","NOT","Arg1:T9 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:10","Protein","NOT","Arg1:T9 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T11 , Arg2:T34","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T8 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T8 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T9 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T9 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:8","Protein","COFACTOR","Arg1:T28 , Arg2:T49","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:8","Protein","COFACTOR","Arg1:T28 , Arg2:T50","Protein","Chemprot","Protein-Protein Interaction",10446934
"CPR:2","Protein","REGULATOR","Arg1:T10 , Arg2:T34","Protein","Chemprot","Protein-Protein Interaction",10462128
"CPR:2","Protein","REGULATOR","Arg1:T14 , Arg2:T35","Protein","Chemprot","Protein-Protein Interaction",10462128
"CPR:6","Protein","ANTAGONIST","Arg1:T23 , Arg2:T36","Protein","Chemprot","Protein-Protein Interaction",10462128
"CPR:6","Protein","ANTAGONIST","Arg1:T3 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10462128
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T13","Protein","Chemprot","Protein-Protein Interaction",10480573
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T9","Protein","Chemprot","Protein-Protein Interaction",10480573
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T3 , Arg2:T15","Protein","Chemprot","Protein-Protein Interaction",10493852
"CPR:4","Protein","INHIBITOR","Arg1:T1 , Arg2:T4","Protein","Chemprot","Protein-Protein Interaction",10493852
"CPR:4","Protein","INHIBITOR","Arg1:T1 , Arg2:T5","Protein","Chemprot","Protein-Protein Interaction",10493852
"CPR:4","Protein","INHIBITOR","Arg1:T3 , Arg2:T14","Protein","Chemprot","Protein-Protein Interaction",10493852
"CPR:2","Protein","REGULATOR","Arg1:T11 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10522750
"CPR:2","Protein","REGULATOR","Arg1:T12 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10522750
"CPR:2","Protein","REGULATOR","Arg1:T13 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10522750
"CPR:6","Protein","ANTAGONIST","Arg1:T11 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10522750
"CPR:6","Protein","ANTAGONIST","Arg1:T19 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10522750
"CPR:6","Protein","ANTAGONIST","Arg1:T20 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10522750
"CPR:6","Protein","ANTAGONIST","Arg1:T2 , Arg2:T10","Protein","Chemprot","Protein-Protein Interaction",10530931
"CPR:6","Protein","ANTAGONIST","Arg1:T3 , Arg2:T6","Protein","Chemprot","Protein-Protein Interaction",10530931
"CPR:6","Protein","ANTAGONIST","Arg1:T4 , Arg2:T11","Protein","Chemprot","Protein-Protein Interaction",10530931
"CPR:6","Protein","ANTAGONIST","Arg1:T5 , Arg2:T11","Protein","Chemprot","Protein-Protein Interaction",10530931
"CPR:2","Protein","REGULATOR","Arg1:T5 , Arg2:T17","Protein","Chemprot","Protein-Protein Interaction",10561751
"CPR:2","Protein","REGULATOR","Arg1:T8 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10561751
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T19","Protein","Chemprot","Protein-Protein Interaction",10583449
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T20","Protein","Chemprot","Protein-Protein Interaction",10583449
"CPR:4","Protein","INHIBITOR","Arg1:T12 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10583449
"CPR:1","Protein","PART-OF","Arg1:T4 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:1","Protein","PART-OF","Arg1:T4 , Arg2:T22","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:1","Protein","PART-OF","Arg1:T6 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:1","Protein","PART-OF","Arg1:T6 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:1","Protein","PART-OF","Arg1:T7 , Arg2:T21","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:1","Protein","PART-OF","Arg1:T7 , Arg2:T23","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:2","Protein","DIRECT-REGULATOR","Arg1:T18 , Arg2:T25","Protein","Chemprot","Protein-Protein Interaction",10606746
"CPR:10","Protein","NOT","Arg1:T13 , Arg2:T25","Protein","Chemprot","Protein-Protein Interaction",10617684
