"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"Dibotermin alfa","Drug","SMAD3","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","SETD2","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","BLOOD GROUP, Ss","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","HOMOCYSTEINEMIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TNF","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","SOD1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","SOD1","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","SOD1","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GCG","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","AKR1B10","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TCF7L2","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TCF7L2","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TCF7L2","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TCF7L2","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TCF7L2","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","FLT1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CYP27B1","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CYP27B1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HMGA2","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HMGA2","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HMGA2","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HMGA2","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HMGA2","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TLR9","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TLR9","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HSPB1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HSPB1","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HSPB1","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HSPB1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","HSPB1","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","PRMT1","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","SIRT6","ALZHEIMER DISEASE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CDKN2A","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CDKN2A","MYELOMA, MULTIPLE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CDKN2A","OVARIAN CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CDKN2A","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","XRCC1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CAD","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CAD","ALZHEIMER DISEASE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CAD","HOMOCYSTEINEMIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","LUNG CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GSTT1","TYPE 2 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL17F","BLOOD GROUP, Ss","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MCIDAS","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL1B","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL1B","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL1B","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL1B","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL1B","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NEUROD1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NEUROD1","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NEUROD1","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NEUROD1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NEUROD1","TYPE 2 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GC","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GC","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GC","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CRP","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CRP","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CRP","KAWASAKI DISEASE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GBAP1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GBAP1","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GBAP1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GBAP1","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DNMT1","OVARIAN CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DNMT1","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DFFB","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DFFB","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DFFB","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DFFB","STROKE, ISCHEMIC","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NQO1","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","PSEN1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","PSEN1","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TGFB1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TGFB1","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TGFB1","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","TGFB1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MIR146A","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MIR146A","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MIR146A","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MIR146A","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","DDB2","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ADIPOQ","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ADIPOQ","BLOOD GROUP, Ss","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ADIPOQ","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ADIPOQ","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GLS","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","GLS","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","CAT","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NANOG","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NANOG","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","NANOG","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL4","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL4","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL4","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL4","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ACOD1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ACOD1","ALZHEIMER DISEASE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ACOD1","HOMOCYSTEINEMIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ACOD1","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ACOD1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","ACOD1","STROKE, ISCHEMIC","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","BLOOD GROUP, Ss","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","OVARIAN CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","STROKE, ISCHEMIC","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL10","KAWASAKI DISEASE","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MTHFR","OBESITY","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","MTHFR","HOMOCYSTEINEMIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","COX2","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","BLOOD GROUP, Ss","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IL6","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IGHD1-14","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IGHD1-14","SCHIZOPHRENIA","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IGHD1-14","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Vitamin D3","Drug","IGHD1-14","STROKE, ISCHEMIC","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","OSTEOARTHRITIS SUSCEPTIBILITY 1","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","TNF","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","SOD1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","SOD1","AUTOIMMUNE DISEASE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","SOD1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","LUNG CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","STAT1","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","KRAS","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","KRAS","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","APP","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","APP","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","SPHK1","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","SPHK1","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","SPHK1","KAWASAKI DISEASE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IGKV1-27","AUTOIMMUNE DISEASE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IGKV1-27","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IGKV1-27","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","GSTP1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","GSTP1","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","GSTP1","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","GSTP1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","GSTP1","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","GSTP1","LUNG CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NOS3","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NOS3","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NOS3","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IL22","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IL22","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IL22","KAWASAKI DISEASE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IL22","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","FN1","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","FN1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","FN1","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IRF8","AUTOIMMUNE DISEASE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IRF8","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","IRF8","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","FOXO1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","FOXO1","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","FOXO1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HMOX1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HMOX1","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HMOX1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HMOX1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HMOX1","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NFKB1","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NFKB1","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NFKB1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NFKB1","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","NFKB1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CD68","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","VEGFA","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","VEGFA","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","VEGFA","SYSTEMIC LUPUS ERYTHEMATOSUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","VEGFA","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","VEGFA","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CXCL12","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CXCL12","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CXCL12","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CXCL12","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HDAC9","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HDAC9","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HDAC9","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","HDAC9","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","BCL2","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","BCL2","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","BCL2","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","LCN2","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","LCN2","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","LCN2","ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","LCN2","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","LCN2","NASOPHARYNGEAL CARCINOMA","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","LCN2","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CAD","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","Disease","Collected from literature","Collected from literature",""
"Inosine","Drug","CAD","RHEUMATOID ARTHRITIS","Disease","Collected from literature","Collected from literature",""
