InteractorA,Relation,InteractorB
SMAD5,up-regulates-quantity,GADD45G
SMAD5,up-regulates-quantity,GATA3
GAN,up-regulates-activity,CUL3
CUL3,down-regulates-quantity,TBCB
CUL3,down-regulates-quantity,MAP1B
CUL3,down-regulates-quantity,MAP1S
GAN,down-regulates-quantity,ATG16L1
ZEB2,up-regulates-activity,CTBP1
RHOXF1,up-regulates-quantity-by-expression,BCL2
SP1,up-regulates-quantity-by-expression,CADM1
SP3,up-regulates-quantity-by-expression,CADM1
TP53,up-regulates-quantity-by-expression,CCNG1
GLI3,down-regulates-quantity,FGF8
ZEB2,down-regulates-quantity-by-repression,MEOX2
ZEB2,up-regulates-quantity-by-expression,VDR
DNMT3A,down-regulates-quantity-by-repression,DPP6
DNMT3B,down-regulates-quantity-by-repression,DPP6
NKX2-2,up-regulates-quantity-by-expression,ERMN
SPI1,up-regulates-quantity-by-expression,FCRL6
TBR1,down-regulates-quantity-by-repression,FEZF2
CREB1,up-regulates-quantity-by-expression,GDA
ZNF292,up-regulates-quantity-by-expression,GH1
REST,down-regulates-quantity-by-repression,HCN1
CEBPA,up-regulates-quantity-by-expression,HSD11B1
CEBPB,up-regulates-quantity-by-expression,HSD11B1
AIRE,down-regulates-quantity-by-repression,ICA1
FEZF2,down-regulates-quantity-by-repression,MDM2
NFE2L3,down-regulates-quantity-by-repression,NQO1
PHB,down-regulates-quantity-by-repression,AR
TP53,up-regulates-activity,PHB
NFE2L3,up-regulates-quantity-by-expression,PLA2G7
SP1,up-regulates-quantity-by-expression,RLIM
TP53,down-regulates-quantity-by-repression,RLIM
HNF1A,up-regulates-quantity-by-expression,SLC22A9
HNF1A,up-regulates-quantity-by-expression,SLC22A10
WT1,up-regulates-quantity-by-expression,SLC29A4
CEBPG,up-regulates-quantity-by-expression,SLCO1B3
HNF1A,up-regulates-quantity-by-expression,SLCO1B3
RARA,up-regulates-quantity-by-expression,SLCO1B3
STAT5A,up-regulates-quantity-by-expression,SLCO1B3
SMARCA1,down-regulates-quantity-by-repression,ST7
TFAP2D,up-regulates-quantity-by-expression,ST8SIA2
GATA4,down-regulates-quantity-by-repression,TDO2
NR3C1,down-regulates-quantity-by-repression,TDO2
NFE2L2,up-regulates-quantity-by-expression,TFB2M
NRF1,up-regulates-quantity-by-expression,TFB2M
TAL1,up-regulates-quantity-by-expression,UBE2H
ATF2,up-regulates-quantity-by-expression,YTHDC2
RLIM,down-regulates-quantity-by-destabilization,ZFP42
FLNA,up-regulates-activity,KCND2
KCNIP4,up-regulates-activity,KCND2
DPP6,up-regulates-activity,KCND2
DPP10,up-regulates-activity,KCND2
PCDHAC1,up-regulates-activity,ITGB1
PCDHAC2,up-regulates-activity,ITGB1
PCDH10,up-regulates-activity,ITGB1
PCDH9,up-regulates-activity,ITGB1
GLIS1,up-regulates-quantity-by-expression,WNT5A
CELF6,up-regulates-quantity-by-stabilization,CDKN1A
IST1,up-regulates-activity,SPAST
FOXP1,down-regulates-quantity-by-repression,CSF1R
FOXP1,up-regulates-quantity-by-expression,PITX3
FOXP1,down-regulates-quantity-by-repression,SEMA5B
RNF208,down-regulates-quantity-by-destabilization,VIM
ESRRA,up-regulates-quantity-by-expression,RNF208
DNMT1,down-regulates-quantity-by-repression,FOXP3
FOXP2,down-regulates-quantity-by-repression,MET
CNTNAP2,up-regulates-activity,CNTN1
ASH1L,down-regulates-quantity-by-repression,NRXN1
KHDRBS1,up-regulates-activity,NRXN1
ASH1L,up-regulates-quantity-by-expression,NTRK2
DEAF1,up-regulates-quantity-by-expression,RAC3
RAC3,up-regulates-activity,CIB1
CIB1,up-regulates-activity,ITGA2B
DEAF1,up-regulates-quantity-by-expression,EN1
MECP2,up-regulates-activity,DEAF1
STOX1,down-regulates-quantity-by-repression,CNTNAP2
ASH1L,up-regulates-activity,H3C1
LZTR1,down-regulates-activity,KRAS
LZTR1,down-regulates-quantity,KRAS
CUL3,up-regulates-activity,LZTR1
CNTNAP1,up-regulates-activity,CNTN1
EFR3A,up-regulates-quantity,PI4KA
PRKN,down-regulates-quantity-by-destabilization,PHGDH
GGNBP2,down-regulates-activity,ESR1
KIRREL3,up-regulates-activity,CASK
KIRREL3,up-regulates-activity,DLG4
HAP1,up-regulates-activity,AHI1
PAX5,down-regulates-activity,BZLF1
PAX5,down-regulates-activity,TLE4
SYK,down-regulates-activity,PAX5
PAX5,down-regulates-quantity,PRDM1
MAPK3,down-regulates-activity,PAX5
MAPK1,down-regulates-activity,PAX5
SETD2,up-regulates-activity,TUBA1B
SETD2,up-regulates-activity,STAT1
SETD2,up-regulates-activity,H3C1
NFIX,down-regulates-quantity,ANOS1
CHD8,down-regulates-quantity,ASCL1
EFR3B,up-regulates-quantity,PI4KA
EFR3A,up-regulates-quantity,KRAS
ADA,up-regulates-activity,ADORA1
OFD1,down-regulates-quantity-by-destabilization,ATG13
EIF2B4,up-regulates-activity,EIF2S3
EIF5,up-regulates-activity,EIF5B
EIF2B5,up-regulates-activity,EIF2S1
EIF2B1,up-regulates-activity,EIF2S1
EIF2B2,up-regulates-activity,EIF2S1
EIF2B3,up-regulates-activity,EIF2S1
EIF2B4,up-regulates-activity,EIF2S1
EIF2B5,up-regulates-activity,EIF2S2
EIF2B1,up-regulates-activity,EIF2S2
EIF2B2,up-regulates-activity,EIF2S2
EIF2B3,up-regulates-activity,EIF2S2
EIF2B4,up-regulates-activity,EIF2S2
EIF2B5,up-regulates-activity,EIF2S3
EIF2B1,up-regulates-activity,EIF2S3
EIF2B2,up-regulates-activity,EIF2S3
EIF2B3,up-regulates-activity,EIF2S3
PPP1R9A,up-regulates-activity,ARHGEF2
GFAP,up-regulates-quantity,ACTB
PPP1R9B,up-regulates-activity,SPATA13
PPP1R9B,up-regulates-quantity,TIAM1
PPP1R9B,up-regulates-activity,ARHGEF2
SYN1,up-regulates-activity,RAB3A
SYN2,up-regulates-activity,ACTB
SYN3,up-regulates-activity,ACTB
SYN1,up-regulates-activity,ACTB
DDX3X,up-regulates-activity,PABPC1
AKT2,down-regulates-activity,RALGAPA2
MYBL2,up-regulates-quantity-by-expression,CLU
ZMYM2,up-regulates-activity,MYBL2
ZMYM2,down-regulates-activity,NANOG
SBF1,up-regulates-activity,MTMR2
DDX3X,down-regulates-activity,EIF4E
DDX3X,up-regulates-activity,SP1
PAM,up-regulates-activity,Oxytocin
ASTN2,down-regulates-quantity,ASTN1
PHF7,form-complex,SMARCD3
SOX17,up-regulates,GLI2
GLI2,up-regulates-quantity,OLIG2
POU5F1,up-regulates-quantity,RARG
SMO,up-regulates-quantity,MAL
SMO,up-regulates-quantity,OPALIN
SMO,up-regulates-quantity,MBP
SMO,up-regulates-quantity,MAG
NR3C1,up-regulates-activity,KAT2B
LNPEP,down-regulates-quantity-by-destabilization,Oxytocin
RXRG,up-regulates-quantity,MBP
RXRG,up-regulates-quantity,GLI2
CNP,down-regulates-activity,MBP
KAT2B,down-regulates-activity,GLI1
SCNN1A,up-regulates-activity,CACNA1H
SCNN1B,up-regulates-activity,CACNA1H
SCNN1G,up-regulates-activity,CACNA1H
MYO5A,up-regulates-activity,ACTB
MYO5A,up-regulates-activity,VAMP2
S100A4,down-regulates-activity,MYH9
DLC1,down-regulates-activity,MYH9
MYH9,up-regulates-quantity-by-expression,CTNNB1
USP15,down-regulates-activity,SQSTM1
RNF26,up-regulates-activity,SQSTM1
QRICH1,up-regulates-quantity-by-expression,EARS2
ZNF804A,up-regulates-activity,STAT2
QRICH1,up-regulates-quantity-by-expression,FARS2
QRICH1,up-regulates-quantity-by-expression,FARSB
QRICH1,up-regulates-quantity-by-expression,GARS1
QRICH1,up-regulates-quantity-by-expression,IARS1
QRICH1,up-regulates-quantity-by-expression,TARS2
QRICH1,up-regulates-quantity-by-expression,VARS1
QRICH1,up-regulates-quantity-by-expression,VARS2
QRICH1,up-regulates-quantity-by-expression,WARS1
QRICH1,up-regulates-quantity-by-expression,WARS2
QRICH1,up-regulates-quantity-by-expression,YARS1
QRICH1,up-regulates-quantity-by-expression,YARS2
ATF4,up-regulates-quantity-by-expression,AARS1
ATF4,up-regulates-quantity-by-expression,AARS2
ATF4,up-regulates-quantity-by-expression,CARS1
ATF4,up-regulates-quantity-by-expression,CARS2
ATF4,up-regulates-quantity-by-expression,DARS2
ATF4,up-regulates-quantity-by-expression,EPRS1
ATF4,up-regulates-quantity-by-expression,LARS1
ATF4,up-regulates-quantity-by-expression,LARS2
ATF4,up-regulates-quantity-by-expression,NARS1
ATF4,up-regulates-quantity-by-expression,NARS2
ATF4,up-regulates-quantity-by-expression,SARS1
ATF4,up-regulates-quantity-by-expression,SARS2
ATF4,up-regulates-quantity-by-expression,GARS1
ATF4,up-regulates-quantity-by-expression,IARS1
ATF4,up-regulates-quantity-by-expression,TARS2
ATF4,up-regulates-quantity-by-expression,WARS1
ATF4,up-regulates-quantity-by-expression,WARS2
ATF4,up-regulates-quantity-by-expression,YARS1
ATF4,up-regulates-quantity-by-expression,YARS2
SNX5,up-regulates-activity,DOCK1
SNX5,down-regulates-quantity,IGF2R
SNX6,down-regulates-quantity,IGF2R
SNX5,down-regulates-quantity,IGF1R
SNX6,down-regulates-quantity,IGF1R
ETFBKMT,down-regulates-activity,ETFB
HECW2,up-regulates-quantity-by-stabilization,TP73
ZNF804A,up-regulates-quantity-by-expression,ANKRD1
ZNF804A,up-regulates-quantity-by-expression,INHBE
ZNF804A,up-regulates-quantity-by-expression,PIK3AP1
ZNF804A,up-regulates-quantity-by-expression,DDIT3
ZNF804A,down-regulates-quantity-by-repression,CLIC2
ZNF804A,down-regulates-quantity-by-repression,MGAM
ZNF804A,down-regulates-quantity-by-repression,BIRC3
ZBTB43,unknown,BDP1
GLI2,up-regulates-quantity-by-expression,IFITM5
SP3,up-regulates-quantity-by-expression,IFITM5
DYRK1A,down-regulates,FOXO6
MAPK3,down-regulates-activity,MCRIP1
MAPK1,down-regulates-activity,MCRIP1
GRK2,down-regulates-activity,OXTR
OXTR,up-regulates-activity,DRD2
KAT2B,up-regulates-activity,H3-4
KAT2A,up-regulates-activity,H3C1
KAT2A,up-regulates-activity,H3-3A
KAT2A,up-regulates-activity,H3-4
KAT2A,up-regulates-activity,H3Y1
KAT2A,up-regulates-activity,H3Y2
KAT2A,up-regulates-activity,H3-2
KAT2A,up-regulates-activity,H3-5
KAT2A,up-regulates-activity,H3C15
KAT2B,up-regulates-activity,H3C1
KAT2B,up-regulates-activity,H3-3A
KAT2B,up-regulates-activity,H3Y1
KAT2B,up-regulates-activity,H3Y2
KAT2B,up-regulates-activity,H3-2
KAT2B,up-regulates-activity,H3-5
KAT2B,up-regulates-activity,H3C15
MYC,up-regulates-quantity-by-expression,UBTF
MXD1,down-regulates-quantity-by-repression,UBTF
CLCC1,up-regulates-activity,PIGBOS1
SLBP,up-regulates-quantity-by-expression,H2BE1
SRC,up-regulates-activity,SH3PXD2B
ULK1,up-regulates-activity,DENND3
ULK2,up-regulates-activity,DENND3
BMPR1A,up-regulates-activity,FAM83G
PRKD1,up-regulates-activity,FAM83G
SP1,up-regulates-quantity-by-expression,IFITM5
SP7,up-regulates-quantity-by-expression,IFITM5
NTRK1,up-regulates,ARHGAP32
GAB1,up-regulates,ARHGAP32
GAB2,up-regulates,ARHGAP32
TRIM27,up-regulates-activity,WASHC1
MAGEL2,up-regulates-activity,WASHC1
FYN,up-regulates-activity,CD300LB
AKT1,down-regulates,FOXO6
CSNK1A1,down-regulates,FOXO6
PCSK5,up-regulates-quantity,Oxytocin
PCSK2,up-regulates-quantity,Oxytocin
PCSK5,up-regulates-quantity,Neurophysin 1
PCSK2,up-regulates-quantity,Neurophysin 1
CPE,up-regulates-activity,Oxytocin
PINK1,up-regulates,UBA52
UBA52,up-regulates-activity,PRKN
TRIM27,up-regulates-activity,STK38L
STK38L,down-regulates-quantity,ULK1
TRIM27,down-regulates-quantity,ULK1
SH2B1,down-regulates-activity,CD79A
CRHR1,up-regulates-activity,GNAS
MC2R,up-regulates-activity,GNAS
INPP5D,down-regulates-activity,SYK
S,down-regulates-activity,EIF3F
TNFSF10,up-regulates,TNFRSF10A
ERBB3,up-regulates,PIK3CD
CALM2,up-regulates,EEF2K
TNF,up-regulates,PIK3CD
CALM1,up-regulates,EEF2K
ROCK1,up-regulates-activity,DNM1L
EPAS1,up-regulates-quantity-by-expression,CACNA1A
GDNF,up-regulates,GFRA2
DCC,up-regulates-activity,CACNA1A
NTRK1,up-regulates,SH2B2
INVS,down-regulates,DVL1
DACT1,down-regulates,DVL2
NFX1,up-regulates-quantity-by-expression,TERT
ATM,up-regulates,CHEK1
EMX1,up-regulates-quantity-by-expression,NRP1
IKBKB,down-regulates-activity,IKBKB
PPM1B,down-regulates-activity,IKBKB
PPP1CA,down-regulates,AURKA
FOXM1,up-regulates-quantity-by-expression,SLC27A2
DVL2,up-regulates-activity,AXIN1
WNT9A,up-regulates,MUSK
CSNK1D,up-regulates,AXIN1
AMER1,up-regulates-activity,AXIN1
AKT1,unknown,FANCA
CDK5,up-regulates,CLOCK
GFI1,down-regulates-quantity-by-repression,CYP27B1
MAPK14,up-regulates,SIAH2
DAPK3,up-regulates,DAPK3
MAPK1,down-regulates-quantity-by-destabilization,BCL2L11
PPP2CB,down-regulates-activity,PRKCB
PIM1,down-regulates,FOXO3
PRKAA1,up-regulates-activity,FOXO3
CSNK1A1,down-regulates,FOXO3
SIRT1,down-regulates-activity,FOXO3
PTPRJ,down-regulates,LAT
HCRT,up-regulates,HCRTR2
ROCK1,down-regulates,PPP1R12B
EGFR,up-regulates,NCK2
NACC1,up-regulates-activity,ZBTB14
IL6R,up-regulates-activity,JAK2
MTOR,up-regulates,EIF4EBP3
JAK2,up-regulates,JAK2
PTPN1,down-regulates,JAK2
BACH1,up-regulates-activity,MAFK
GSK3B,unknown,CTNND1
PRKACA,up-regulates-activity,PFKFB2
MTOR,down-regulates,ATG13
WNT7A,up-regulates-activity,FZD7
WNT9B,up-regulates,LRP6
LYN,up-regulates,PPP1R15A
MDC1,up-regulates,RNF8
TLE5,down-regulates-activity,SIX3
TP53INP1,up-regulates,GABARAP
PCM1,up-regulates,PCNT
PML,up-regulates,ZFYVE9
ESRRA,down-regulates-quantity-by-repression,SNAI1
PCNA,down-regulates-activity,NCR2
ATRX,up-regulates-activity,ZBED1
LBX1,up-regulates-quantity-by-expression,SNAI1
CD40LG,down-regulates-quantity-by-repression,IGSF6
NFE2L2,up-regulates-quantity-by-expression,SOD1
EZH2,down-regulates-quantity-by-repression,ALDH1A1
CLK1,down-regulates,ABL1
EGFR,up-regulates-activity,EGFR
PTGER2,up-regulates,EGFR
TRIP13,up-regulates-quantity-by-stabilization,EGFR
ACE,up-regulates-quantity,Angiotensin-2
CFI,down-regulates-activity,C3
REN,up-regulates-quantity,Angiotensin-1
ACE2,up-regulates-quantity,Angiotensin 1-7
MIR9-1HG,up-regulates-quantity-by-expression,FOS
CEBPB,up-regulates-quantity-by-expression,C3
CEBPA,down-regulates-quantity-by-repression,MYC
NF1,down-regulates-activity,HRAS
USP28,up-regulates,MYC
RAPGEF5,up-regulates,KRAS
MMP2,up-regulates,TGFB1
ANKRD1,down-regulates-quantity-by-repression,NPPA
STAT3,up-regulates-quantity-by-expression,POMC
TGFB1,down-regulates-quantity-by-repression,TSHB
MMP9,up-regulates,TGFB1
JARID2,down-regulates-quantity-by-repression,NPPA
IRF7,up-regulates-quantity-by-expression,IFNA1
TBX21,up-regulates-quantity-by-expression,IFNG
IFNG,up-regulates-quantity-by-expression,HLA-B
WNT9A,up-regulates,CHRNA1
MAPK1,unknown,MBP
DLK1,up-regulates,FN1
FGG,down-regulates-activity,VTN
HSPA1A,down-regulates,NR3C1
EIF2AK2,up-regulates,TP53
CD79B,up-regulates,TP53
MLF1,up-regulates,TP53
EP300,up-regulates,TP53
CALM3,up-regulates,EEF2K
SMO,up-regulates-activity,GNAI2
PTGS2,up-regulates,IL4
ABCA7,down-regulates-quantity,APP
N,up-regulates-quantity-by-expression,SERPINE1
RELA,up-regulates-quantity-by-expression,IL6
BZW2,up-regulates-activity,EIF2S1
HBB,down-regulates-activity,EDN1
ABL1,up-regulates-activity,JUN
CSNK2A1,up-regulates,TFAP2A
CDK3,up-regulates,JUN
MUC12,up-regulates-activity,JUN
PPP2CB,unknown,KRT8
CBL,down-regulates,INSR
ABL1,unknown,RB1
CDK4,down-regulates,RB1
PTPRF,down-regulates,FYN
MASP2,up-regulates-activity,C2
CDK18,unknown,RB1
GADD45A,down-regulates,CDK1
APOC3,down-regulates-activity,LPL
USF1,up-regulates-quantity-by-expression,S100A6
MKNK1,up-regulates,EIF4E
SP1,up-regulates-quantity-by-expression,RHO
KLF15,down-regulates-quantity-by-repression,RHO
DDIT3,down-regulates-quantity-by-repression,ASNS
SP1,up-regulates-quantity-by-expression,ASNS
PRKCA,down-regulates,MET
PAK1,unknown,VIM
SMO,up-regulates,GNAI3
NFE2L2,up-regulates-quantity-by-expression,KRT16
DEAF1,down-regulates-quantity-by-repression,HTR1A
ZFX,down-regulates-quantity-by-repression,FBP1
PTPN1,down-regulates,PDGFRB
CSNK1A1,down-regulates,GLI2
PINK1,up-regulates-activity,UBC
ZIC1,up-regulates,GLI3
ERG,down-regulates-quantity-by-repression,CXCL8
SUFU,down-regulates,GLI3
ZMIZ1,up-regulates-activity,AR
MAPK3,up-regulates,BCL2
SMAD3,down-regulates-quantity-by-repression,BCL2
PRKACA,down-regulates-activity,MAPT
GSK3B,down-regulates-activity,MAPT
CDK5,down-regulates-activity,MAPT
TTBK1,down-regulates,MAPT
PTPN6,down-regulates,KIT
CRX,up-regulates-quantity-by-expression,RBP3
RARA,up-regulates,THRA
KITLG,up-regulates,KIT
GFI1,down-regulates-quantity-by-repression,EGR2
PHKG2,up-regulates-activity,PYGM
MAPK3,down-regulates,FGFR1
FGF5,up-regulates,FGFR1
MRTFB,up-regulates-activity,SRF
CDK1,down-regulates,PTHLH
N,down-regulates-activity,G3BP1
PRKCD,down-regulates-activity,CDH1
PRKACA,up-regulates-activity,SRC
ROR1,up-regulates,SRC
GOPC,down-regulates,CFTR
F2RL1,down-regulates-quantity-by-repression,RARG
PRKACA,down-regulates-activity,GFAP
IL1A,up-regulates-activity,IL1R1
FYN,down-regulates-activity,JUP
NODAL,up-regulates-quantity-by-expression,LIF
AKT1,down-regulates-activity,BRAF
INSR,unknown,FABP4
AKT2,up-regulates,EZR
CDK5,up-regulates-activity,EZR
ABL1,up-regulates,VAV1
MAPK14,up-regulates-activity,ATF2
MYC,up-regulates-quantity-by-expression,VEGFA
NFE2L1,up-regulates-quantity-by-expression,NQO1
RNF8,up-regulates,H2AX
GATA1,up-regulates-quantity-by-expression,GATA1
RPS6KA1,up-regulates-activity,CREB1
SELPLG,up-regulates,SELE
IL7,up-regulates,IL7R
CAMK4,down-regulates,STMN1
DVL1P1,up-regulates,PRKCA
IRX3,down-regulates-quantity-by-repression,GJA1
BTG1,up-regulates-activity,HOXB9
NR3C1,up-regulates-quantity-by-expression,CEBPB
PAK2,unknown,SYN1
CDK2,up-regulates,CEBPB
MYC,down-regulates-quantity-by-repression,HLA-G
AURKB,down-regulates,DES
PRKCA,unknown,VCL
RELA,up-regulates,EGR1
KLF6,up-regulates-quantity-by-expression,ATF3
CSNK2A1,up-regulates,XRCC1
MAPK8,down-regulates-activity,BCL2
PRKCA,up-regulates,GNAZ
PPP2CA,down-regulates-activity,PRKCB
PIK3C2A,up-regulates,PLCG1
PRKCA,unknown,TNNI3
TNF,up-regulates-activity,TNFRSF1A
RPS6KA1,up-regulates,SLC9A1
NFKBIE,down-regulates,NFKB1
MAP3K7,up-regulates-quantity-by-expression,NFKB1
EIF4G2,up-regulates-activity,EIF2S2
TNF,up-regulates-activity,TNFRSF1B
JAK2,up-regulates-activity,ITGAL
GATA2,up-regulates-quantity-by-expression,TRH
FGA,up-regulates,ITGAX
SRC,down-regulates,RASA1
ITCH,up-regulates-activity,TNFAIP3
SRC,up-regulates,KCNA3
GTF2I,up-regulates-activity,USF1
VAV1,up-regulates,CBL
YAP1,down-regulates,MYF6
CDK1,up-regulates,RPS3
MTOR,up-regulates-activity,RPS6KB1
PTPN6,down-regulates,JAK1
JUNB,down-regulates-quantity-by-repression,LORICRIN
IL4R,up-regulates,JAK1
MECP2,down-regulates-quantity-by-repression,BDNF
TBX21,down-regulates,GATA3
PRKACA,unknown,CCND1
RXRB,up-regulates,NR2F2
HDAC1,up-regulates,CCND1
IL4,up-regulates,IL4R
TP53,down-regulates-quantity-by-repression,TBXAS1
CDK9,up-regulates,POLR2A
INTS4,up-regulates-activity,POLR2A
CSNK2A1,down-regulates,NFKBIA
,up-regulates-activity,DDX5
DOK1,down-regulates-activity,ITGB7
YY1,up-regulates-quantity-by-expression,HSD3B2
PRKCA,unknown,RPL10
DUSP6,down-regulates,MAPK3
PPP2R5C,down-regulates,MAPK1
RBPJ,up-regulates,DUSP1
RET,up-regulates,SHC1
NTRK1,up-regulates,SHC1
HSP90AA1,up-regulates,NOS3
PRKAA1,up-regulates,NOS3
CDK1,unknown,EEF1D
PRKCA,down-regulates-activity,MARCKS
MYC,up-regulates-quantity-by-expression,CCND2
IL22RA1,up-regulates,TYK2
PLK1,down-regulates,WEE1
MAPKAPK2,up-regulates-activity,CREB1
GRK3,down-regulates-activity,BDKRB2
PDPK1,up-regulates-activity,OXTR
PLK1,up-regulates,CLIP1
Oxytocin,up-regulates,OXTR
AHSA1,up-regulates-activity,GCH1
IL6,down-regulates-quantity-by-repression,GCH1
SETBP1,up-regulates-quantity-by-expression,HOXA9
STK11,down-regulates-quantity,CPS1
SETBP1,up-regulates-quantity-by-expression,HOXA10
PRKG1,up-regulates,SLC6A4
RSPO2,up-regulates,SDC4
ID1,up-regulates,AKT1
TCL1B,up-regulates,AKT1
PDPK2P,up-regulates,AKT1
CSNK2A1,up-regulates,AKT1
RUNX1,up-regulates-quantity-by-expression,ELANE
IL7,up-regulates,IL2RG
MUL1,down-regulates-quantity-by-destabilization,AKT1
GAST,up-regulates,CCKBR
CCL21,up-regulates,CCR7
CCL3,up-regulates,CCR1
MAPKAPK2,unknown,LSP1
PSENEN,up-regulates,RYK
CRH,up-regulates,CRHR1
ADAM10,up-regulates-activity,BTC
WNT1,up-regulates,RYK
BCL9,up-regulates,CTNNB1
CDH2,up-regulates-activity,CTNNB1
MAPK3,up-regulates-activity,PTPN7
TSC22D1,up-regulates-quantity-by-expression,NPPC
IGF1,up-regulates-quantity-by-expression,FBN1
IGF1R,up-regulates,IRS1
CSNK2A1,up-regulates,MYH9
SMO,up-regulates-quantity-by-expression,TIMP3
