"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"EGFR","Gene","inhibitor","POZIOTINIB","Drug","DGidb","Drug-Gene Interation",""
"KDR","Gene","agonist","TELBERMIN","Drug","DGidb","Drug-Gene Interation",""
"CBR1","Gene","inhibitor","WEDELOLACTONE","Drug","DGidb","Drug-Gene Interation",""
"IGHE","Gene","antibody","LIGELIZUMAB","Drug","DGidb","Drug-Gene Interation",""
"LHCGR","Gene","agonist","CHORIOGONADOTROPIN ALFA","Drug","DGidb","Drug-Gene Interation",""
"PRLHR","Gene","agonist","PRRP-20","Drug","DGidb","Drug-Gene Interation",""
"CA5A","Gene","activator","L-HISTIDINE","Drug","DGidb","Drug-Gene Interation",""
"HTR1D","Gene","agonist","ERGOTAMINE TARTRATE","Drug","DGidb","Drug-Gene Interation",""
"KDR","Gene","inhibitor","Fruquintinib","Drug","DGidb","Drug-Gene Interation",""
"TPH2","Gene","inhibitor","FENFLURAMINE","Drug","DGidb","Drug-Gene Interation",""
"PROKR1","Gene","agonist","IS1","Drug","DGidb","Drug-Gene Interation",""
"CHEK2","Gene","inhibitor","PREXASERTIB","Drug","DGidb","Drug-Gene Interation",""
"AKT1","Gene","inhibitor","GSK690693","Drug","DGidb","Drug-Gene Interation",""
"DPP4","Gene","inhibitor","OMARIGLIPTIN","Drug","DGidb","Drug-Gene Interation",""
"CCR5","Gene","antagonist","MARAVIROC","Drug","DGidb","Drug-Gene Interation",""
"HDAC4","Gene","inhibitor","CUDC-101","Drug","DGidb","Drug-Gene Interation",""
"MAPK11","Gene","inhibitor","RWJ-67657","Drug","DGidb","Drug-Gene Interation",""
"CXCR1","Gene","allosteric modulator","REPARIXIN","Drug","DGidb","Drug-Gene Interation",""
"NPR1","Gene","antagonist","[ASU7,23']Î’-ANP-(7-28)","Drug","DGidb","Drug-Gene Interation",""
"IKBKE","Gene","inhibitor","COMPOUND II","Drug","DGidb","Drug-Gene Interation","21329883"
"ADORA2B","Gene","antagonist","ZM-241385","Drug","DGidb","Drug-Gene Interation",""
"GRM7","Gene","allosteric modulator","XAP044","Drug","DGidb","Drug-Gene Interation",""
"P4HTM","Gene","inhibitor","DAPRODUSTAT","Drug","DGidb","Drug-Gene Interation",""
"AVPR2","Gene","antagonist","TOLVAPTAN","Drug","DGidb","Drug-Gene Interation",""
"HMGCR","Gene","inhibitor","COMPOUND 41","Drug","DGidb","Drug-Gene Interation","17574411"
"PIK3CG","Gene","inhibitor","TG100-115","Drug","DGidb","Drug-Gene Interation",""
"HTR2A","Gene","agonist","DOI","Drug","DGidb","Drug-Gene Interation",""
"PIK3R3","Gene","inhibitor","GDC-0941","Drug","DGidb","Drug-Gene Interation",""
"GRIN2D","Gene","agonist","[3H]GLYCINE","Drug","DGidb","Drug-Gene Interation",""
"GALR1","Gene","agonist","GALANIN(3-29) (RAT/MOUSE)","Drug","DGidb","Drug-Gene Interation",""
"GABRQ","Gene","positive modulator","PROPOFOL","Drug","DGidb","Drug-Gene Interation",""
"GABRA3","Gene","allosteric modulator","TPA023","Drug","DGidb","Drug-Gene Interation",""
"PTGS1","Gene","inhibitor","SUPROFEN","Drug","DGidb","Drug-Gene Interation",""
"GABRA5","Gene","positive modulator","CHLORDIAZEPOXIDE","Drug","DGidb","Drug-Gene Interation",""
"PIK3CA","Gene","inhibitor","INK-1117","Drug","DGidb","Drug-Gene Interation",""
"TUBA3E","Gene","inhibitor","VINCRISTINE SULFATE","Drug","DGidb","Drug-Gene Interation",""
"RXRG","Gene","agonist","ALITRETINOIN","Drug","DGidb","Drug-Gene Interation",""
"OPRL1","Gene","antagonist","NIK-21273","Drug","DGidb","Drug-Gene Interation",""
"AKT3","Gene","inhibitor","IPATASERTIB","Drug","DGidb","Drug-Gene Interation",""
"NR3C1","Gene","agonist","BETAMETHASONE BENZOATE","Drug","DGidb","Drug-Gene Interation",""
"RPS6KB1","Gene","inhibitor","LY-2780301","Drug","DGidb","Drug-Gene Interation",""
"CHRM1","Gene","agonist","PILOCARPINE HYDROCHLORIDE","Drug","DGidb","Drug-Gene Interation",""
"GABRA1","Gene","allosteric modulator","[11C]FLUMAZENIL","Drug","DGidb","Drug-Gene Interation",""
"CCR4","Gene","agonist","[125I]CCL17 (HUMAN)","Drug","DGidb","Drug-Gene Interation",""
"TUBB1","Gene","inhibitor","TRASTUZUMAB EMTANSINE","Drug","DGidb","Drug-Gene Interation",""
"PIK3CA","Gene","inhibitor","GSK1059615","Drug","DGidb","Drug-Gene Interation",""
"GABRA3","Gene","blocker","[35S]TBPS","Drug","DGidb","Drug-Gene Interation",""
"RRM2","Gene","inhibitor","HYDROXYUREA","Drug","DGidb","Drug-Gene Interation",""
"CSF2RA","Gene","agonist","SARGRAMOSTIM","Drug","DGidb","Drug-Gene Interation",""
"CHRM5","Gene","antagonist","HEXOCYCLIUM","Drug","DGidb","Drug-Gene Interation",""
"KDR","Gene","inhibitor","ENMD-2076","Drug","DGidb","Drug-Gene Interation",""
"GALR1","Gene","agonist","GAL-B2-C18","Drug","DGidb","Drug-Gene Interation",""
"NPR1","Gene","agonist","NESIRITIDE","Drug","DGidb","Drug-Gene Interation",""
"RRM2","Gene","inhibitor","FLUDARABINE PHOSPHATE","Drug","DGidb","Drug-Gene Interation",""
"OPRD1","Gene","agonist","ADL5859","Drug","DGidb","Drug-Gene Interation",""
"NDUFB2","Gene","inhibitor","NV-128","Drug","DGidb","Drug-Gene Interation",""
"FLT3","Gene","inhibitor","PLX3397","Drug","DGidb","Drug-Gene Interation",""
"AVPR1A","Gene","antagonist","D(CH2)","Drug","DGidb","Drug-Gene Interation",""
"PSMB4","Gene","inhibitor","OPROZOMIB","Drug","DGidb","Drug-Gene Interation",""
"PGR","Gene","agonist","FLUTICASONE PROPIONATE","Drug","DGidb","Drug-Gene Interation",""
"GLP1R","Gene","antagonist","EXENDIN-(9-39)","Drug","DGidb","Drug-Gene Interation",""
"KCNK10","Gene","activator","HALOTHANE","Drug","DGidb","Drug-Gene Interation",""
"NR3C2","Gene","agonist","DESOXYCORTICOSTERONE PIVALATE","Drug","DGidb","Drug-Gene Interation",""
"C3AR1","Gene","agonist","CASOXIN C","Drug","DGidb","Drug-Gene Interation",""
"PSMB2","Gene","inhibitor","CARFILZOMIB","Drug","DGidb","Drug-Gene Interation",""
"CDK8","Gene","inhibitor","Roniciclib","Drug","DGidb","Drug-Gene Interation",""
"CHRM2","Gene","antagonist","MUSCARINIC TOXIN 7","Drug","DGidb","Drug-Gene Interation",""
"CASP9","Gene","inhibitor","NIVOCASAN","Drug","DGidb","Drug-Gene Interation",""
"MAOA","Gene","inhibitor","PHENELZINE SULFATE","Drug","DGidb","Drug-Gene Interation",""
"ASIC3","Gene","blocker","AMILORIDE","Drug","DGidb","Drug-Gene Interation",""
"ADRA1B","Gene","agonist","DROXIDOPA","Drug","DGidb","Drug-Gene Interation",""
"KCNJ11","Gene","blocker","GLIPIZIDE","Drug","DGidb","Drug-Gene Interation",""
"GRIN3B","Gene","antagonist","Indantadol","Drug","DGidb","Drug-Gene Interation",""
"GRIA1","Gene","antagonist","ZONAMPANEL","Drug","DGidb","Drug-Gene Interation",""
"DRD2","Gene","antagonist","OLANZAPINE","Drug","DGidb","Drug-Gene Interation",""
"SIK2","Gene","inhibitor","ARN-3236","Drug","DGidb","Drug-Gene Interation",""
"HTR1A","Gene","agonist","ROXINDOLE","Drug","DGidb","Drug-Gene Interation",""
"HTR2A","Gene","antagonist","MIANSERIN","Drug","DGidb","Drug-Gene Interation",""
"ADRA2C","Gene","agonist","GUANFACINE","Drug","DGidb","Drug-Gene Interation",""
"AGTR1","Gene","antagonist","[SAR1,GLY4,GLY8]ANG-II","Drug","DGidb","Drug-Gene Interation",""
"SCN4A","Gene","blocker","BENOXINATE HYDROCHLORIDE","Drug","DGidb","Drug-Gene Interation",""
"OPRK1","Gene","agonist","GR 89696","Drug","DGidb","Drug-Gene Interation",""
"NR3C1","Gene","agonist","DESOXIMETASONE","Drug","DGidb","Drug-Gene Interation",""
"ALK","Gene","inhibitor","X-396","Drug","DGidb","Drug-Gene Interation",""
"HTR1A","Gene","agonist","LISURIDE","Drug","DGidb","Drug-Gene Interation",""
"IL2RA","Gene","inhibitor","DACLIZUMAB","Drug","DGidb","Drug-Gene Interation",""
"NR1H4","Gene","agonist","TROPIFEXOR","Drug","DGidb","Drug-Gene Interation",""
"PDE3B","Gene","inhibitor","THEOPHYLLINE","Drug","DGidb","Drug-Gene Interation",""
"CALCR","Gene","agonist","[125I]CT (HUMAN)","Drug","DGidb","Drug-Gene Interation",""
"AURKC","Gene","inhibitor","SU6656","Drug","DGidb","Drug-Gene Interation",""
"GPR55","Gene","antagonist","AM281","Drug","DGidb","Drug-Gene Interation",""
"GABRA4","Gene","positive modulator","HALAZEPAM","Drug","DGidb","Drug-Gene Interation",""
"TRPM3","Gene","activator","SPHINGOSINE","Drug","DGidb","Drug-Gene Interation",""
"ARAF","Gene","inhibitor","LGX818","Drug","DGidb","Drug-Gene Interation",""
"SLC15A1","Gene","inhibitor","LY","Drug","DGidb","Drug-Gene Interation",""
"MTOR","Gene","inhibitor","BEZ235","Drug","DGidb","Drug-Gene Interation",""
"PSMD14","Gene","inhibitor","CARFILZOMIB","Drug","DGidb","Drug-Gene Interation",""
"OPRD1","Gene","agonist","BW373U86","Drug","DGidb","Drug-Gene Interation",""
"GABRA3","Gene","agonist","[3H]MUSCIMOL","Drug","DGidb","Drug-Gene Interation",""
"FFAR4","Gene","agonist","COMPOUND A","Drug","DGidb","Drug-Gene Interation",""
"HTR1E","Gene","antagonist","FLUSPIRILENE","Drug","DGidb","Drug-Gene Interation",""
"PIK3R1","Gene","inhibitor","RG-7666","Drug","DGidb","Drug-Gene Interation",""
"PPARG","Gene","agonist","L-783483","Drug","DGidb","Drug-Gene Interation",""
"P2RX7","Gene","antagonist","COMPOUND 16I","Drug","DGidb","Drug-Gene Interation","31525963"
"EGFR","Gene","inhibitor","PANITUMUMAB","Drug","DGidb","Drug-Gene Interation",""
"SCN5A","Gene","blocker","DRONEDARONE HYDROCHLORIDE","Drug","DGidb","Drug-Gene Interation",""
"BRD4","Gene","inhibitor","LY 294002","Drug","DGidb","Drug-Gene Interation",""
"RARG","Gene","agonist","RO 40-6055","Drug","DGidb","Drug-Gene Interation",""
"MT-ND4","Gene","inhibitor","METFORMIN HYDROCHLORIDE","Drug","DGidb","Drug-Gene Interation",""
"RXFP4","Gene","agonist","INSL5 AMIDE (HUMAN)","Drug","DGidb","Drug-Gene Interation",""
"PTGER3","Gene","agonist","CLOPROSTENOL","Drug","DGidb","Drug-Gene Interation",""
"ADRB2","Gene","antagonist","LEVOBUNOLOL","Drug","DGidb","Drug-Gene Interation",""
"CYP17A1","Gene","inhibitor","GALETERONE","Drug","DGidb","Drug-Gene Interation",""
"ALK","Gene","inhibitor","NVP-TAE684","Drug","DGidb","Drug-Gene Interation",""
"PTGS2","Gene","inhibitor","MELOXICAM","Drug","DGidb","Drug-Gene Interation",""
"HDAC3","Gene","inhibitor","CUDC-101","Drug","DGidb","Drug-Gene Interation",""
"TUBB2B","Gene","inhibitor","BRENTUXIMAB VEDOTIN","Drug","DGidb","Drug-Gene Interation",""
"CHEK1","Gene","inhibitor","AZD7762","Drug","DGidb","Drug-Gene Interation",""
"TGFBR1","Gene","inhibitor","COMPOUND 13D","Drug","DGidb","Drug-Gene Interation","23639540"
"PDPK1","Gene","inhibitor","BX-912","Drug","DGidb","Drug-Gene Interation",""
"CHRM5","Gene","antagonist","HEXAHYDROSILADIFENIDOL","Drug","DGidb","Drug-Gene Interation",""
"CDK7","Gene","inhibitor","TG-02","Drug","DGidb","Drug-Gene Interation",""
"FLT3","Gene","inhibitor","KW-2449","Drug","DGidb","Drug-Gene Interation",""
"MCHR1","Gene","agonist","AC-HMCH-(6-16)-NH2","Drug","DGidb","Drug-Gene Interation",""
"EDNRA","Gene","antagonist","AMBRISENTAN","Drug","DGidb","Drug-Gene Interation",""
"MT-ND2","Gene","inhibitor","NV-128","Drug","DGidb","Drug-Gene Interation",""
"SLCO2B1","Gene","inhibitor","ERLOTINIB","Drug","DGidb","Drug-Gene Interation",""
"ADRA1B","Gene","agonist","ERGOTAMINE TARTRATE","Drug","DGidb","Drug-Gene Interation",""
"HRH1","Gene","antagonist","MEPYRAMINE","Drug","DGidb","Drug-Gene Interation",""
"KIT","Gene","inhibitor","SORAFENIB","Drug","DGidb","Drug-Gene Interation",""
"ADRA1A","Gene","agonist","PHENYLEPHRINE BITARTRATE","Drug","DGidb","Drug-Gene Interation",""
"SGK2","Gene","inhibitor","COMPOUND 14N","Drug","DGidb","Drug-Gene Interation","25589934"
"ABCC5","Gene","inhibitor","SILDENAFIL","Drug","DGidb","Drug-Gene Interation",""
"ADRB2","Gene","agonist","INDACATEROL","Drug","DGidb","Drug-Gene Interation",""
"CA9","Gene","inhibitor","COMPOUND 5B ","Drug","DGidb","Drug-Gene Interation","31287314"
"MTNR1A","Gene","agonist","5-HEAT","Drug","DGidb","Drug-Gene Interation",""
"KDR","Gene","inhibitor","MOTESANIB","Drug","DGidb","Drug-Gene Interation",""
"AQP2","Gene","inhibitor","HG2+","Drug","DGidb","Drug-Gene Interation",""
"SSTR2","Gene","agonist","VAPREOTIDE","Drug","DGidb","Drug-Gene Interation",""
"EGFR","Gene","inhibitor","MOBOCERTINIB","Drug","DGidb","Drug-Gene Interation",""
"HCRTR1","Gene","antagonist","SB-649868","Drug","DGidb","Drug-Gene Interation",""
"PTGER4","Gene","agonist","BUTAPROST (FREE ACID FORM)","Drug","DGidb","Drug-Gene Interation",""
"DHFR","Gene","inhibitor","COMPOUND 9","Drug","DGidb","Drug-Gene Interation","15615544"
"HRH3","Gene","agonist","N-METHYLHISTAMINE","Drug","DGidb","Drug-Gene Interation",""
"VIPR2","Gene","agonist","[125I]PACAP-27","Drug","DGidb","Drug-Gene Interation",""
"CHRNA9","Gene","antagonist","RGIA4","Drug","DGidb","Drug-Gene Interation",""
"PIK3C2G","Gene","inhibitor","GDC-0980","Drug","DGidb","Drug-Gene Interation",""
"HTR1B","Gene","agonist","2-METHYL-5-HT","Drug","DGidb","Drug-Gene Interation",""
"HRH4","Gene","agonist","N-ETHYLHISTAMINE","Drug","DGidb","Drug-Gene Interation",""
"DRD2","Gene","antagonist","RACLOPRIDE","Drug","DGidb","Drug-Gene Interation",""
"CHRNA10","Gene","antagonist","STRYCHNINE","Drug","DGidb","Drug-Gene Interation",""
"SRC","Gene","inhibitor","VANDETANIB","Drug","DGidb","Drug-Gene Interation",""
"CDK1","Gene","inhibitor","BAY1000394","Drug","DGidb","Drug-Gene Interation",""
"TRPM4","Gene","inhibitor","ADP","Drug","DGidb","Drug-Gene Interation",""
"GRM3","Gene","agonist","LY379268","Drug","DGidb","Drug-Gene Interation",""
"GABRA5","Gene","agonist","ISOGUVACINE","Drug","DGidb","Drug-Gene Interation",""
"IL17A","Gene","inhibitor","SECUKINUMAB","Drug","DGidb","Drug-Gene Interation",""
"TUBA1C","Gene","inhibitor","VINBLASTINE SULFATE","Drug","DGidb","Drug-Gene Interation",""
"SCN9A","Gene","blocker","PHENYTOIN","Drug","DGidb","Drug-Gene Interation",""
"AURKC","Gene","inhibitor","COMPOUND 38","Drug","DGidb","Drug-Gene Interation","20817473"
"CD22","Gene","antibody","MOXETUMOMAB PASUDOTOX","Drug","DGidb","Drug-Gene Interation",""
"KDR","Gene","inhibitor","Apatinib","Drug","DGidb","Drug-Gene Interation",""
"GUCY1B2","Gene","activator","ISOSORBIDE DINITRATE","Drug","DGidb","Drug-Gene Interation",""
"DRD2","Gene","antagonist","ASENAPINE MALEATE","Drug","DGidb","Drug-Gene Interation",""
"TESK2","Gene","inhibitor","COMPOUND 30","Drug","DGidb","Drug-Gene Interation","22902653"
"HTR2C","Gene","antagonist","METERGOLINE","Drug","DGidb","Drug-Gene Interation",""
"CYSLTR1","Gene","antagonist","MONTELUKAST","Drug","DGidb","Drug-Gene Interation",""
"GJC3","Gene","inhibitor","CARBENOXOLONE","Drug","DGidb","Drug-Gene Interation",""
"FFAR2","Gene","antagonist","GLPG0974","Drug","DGidb","Drug-Gene Interation",""
"HTR2A","Gene","antagonist","CLOZAPINE","Drug","DGidb","Drug-Gene Interation",""
"SIGMAR1","Gene","antagonist","FLUVOXAMINE","Drug","DGidb","Drug-Gene Interation",""
"FLT4","Gene","inhibitor","SORAFENIB TOSYLATE","Drug","DGidb","Drug-Gene Interation",""
"EGFR","Gene","inhibitor","ALLITINIB","Drug","DGidb","Drug-Gene Interation",""
"KCNJ1","Gene","blocker","BA2+","Drug","DGidb","Drug-Gene Interation",""
"MAP2K2","Gene","inhibitor","Refametinib","Drug","DGidb","Drug-Gene Interation",""
"EGFR","Gene","inhibitor","AZD-4769","Drug","DGidb","Drug-Gene Interation",""
"DRD3","Gene","antagonist","HALOPERIDOL","Drug","DGidb","Drug-Gene Interation",""
"DRD4","Gene","antagonist","(+)-SULPIRIDE","Drug","DGidb","Drug-Gene Interation",""
"PIK3R6","Gene","inhibitor","PKI-587","Drug","DGidb","Drug-Gene Interation",""
"DRD3","Gene","antagonist","ETICLOPRIDE","Drug","DGidb","Drug-Gene Interation",""
"SOST","Gene","inhibitor","BLOSOZUMAB","Drug","DGidb","Drug-Gene Interation",""
"LIPE","Gene","inhibitor","COMPOUND 41","Drug","DGidb","Drug-Gene Interation","15026062"
"EGFR","Gene","inhibitor","WZ4002","Drug","DGidb","Drug-Gene Interation",""
"CYP2D6","Gene","inhibitor","TIQ-15","Drug","DGidb","Drug-Gene Interation",""
"NTRK2","Gene","inhibitor","GNF-5837","Drug","DGidb","Drug-Gene Interation",""
"SSTR4","Gene","agonist","[125I]TYR11-SRIF-14","Drug","DGidb","Drug-Gene Interation",""
"DRD3","Gene","inverse agonist","HALOPERIDOL DECANOATE","Drug","DGidb","Drug-Gene Interation",""
"HCAR1","Gene","agonist","L-LACTIC ACID","Drug","DGidb","Drug-Gene Interation",""
"ESR1","Gene","agonist","STANOZOLOL","Drug","DGidb","Drug-Gene Interation",""
"SSTR1","Gene","agonist","[125I]CGP 23996","Drug","DGidb","Drug-Gene Interation",""
"ABCC1","Gene","inhibitor","COMPOUND 14","Drug","DGidb","Drug-Gene Interation","30925062"
"HDAC7","Gene","inhibitor","TACEDINALINE","Drug","DGidb","Drug-Gene Interation",""
"CHRM3","Gene","antagonist","MEPENZOLIC ACID","Drug","DGidb","Drug-Gene Interation",""
"GABRB3","Gene","positive modulator","CLORAZEPATE DIPOTASSIUM","Drug","DGidb","Drug-Gene Interation",""
"TEK","Gene","inhibitor","CE-245677","Drug","DGidb","Drug-Gene Interation",""
"GRIA2","Gene","allosteric modulator","CYCLOTHIAZIDE","Drug","DGidb","Drug-Gene Interation",""
"SLC6A3","Gene","inhibitor","TRIMIPRAMINE","Drug","DGidb","Drug-Gene Interation",""
"SMO","Gene","antagonist","VISMODEGIB","Drug","DGidb","Drug-Gene Interation",""
"GRM2","Gene","allosteric modulator","COMPOUND 2","Drug","DGidb","Drug-Gene Interation","21105727"
"BDKRB1","Gene","antagonist","BI113823","Drug","DGidb","Drug-Gene Interation",""
"ADRA1B","Gene","agonist","PHENYLEPHRINE","Drug","DGidb","Drug-Gene Interation",""
"KCNN2","Gene","blocker","TETRAETHYLAMMONIUM","Drug","DGidb","Drug-Gene Interation",""
"HTR1A","Gene","agonist","GR 127935","Drug","DGidb","Drug-Gene Interation",""
"FLT4","Gene","inhibitor","CEP-5214","Drug","DGidb","Drug-Gene Interation",""
"HTR2A","Gene","antagonist","CHLORPROMAZINE","Drug","DGidb","Drug-Gene Interation",""
"PDE4D","Gene","inhibitor","DIPYRIDAMOLE","Drug","DGidb","Drug-Gene Interation",""
"NPSR1","Gene","antagonist","QA1","Drug","DGidb","Drug-Gene Interation",""
"GRPR","Gene","antagonist","[D-PHE6]BOMBESIN(6-13)PROPYLAMIDE","Drug","DGidb","Drug-Gene Interation",""
"HTR6","Gene","agonist","CAPESEROD","Drug","DGidb","Drug-Gene Interation",""
"P2RY12","Gene","antagonist","REGRELOR","Drug","DGidb","Drug-Gene Interation",""
"CCR2","Gene","antagonist","RS-102895","Drug","DGidb","Drug-Gene Interation",""
"GABRA1","Gene","positive modulator","THIAMYLAL SODIUM","Drug","DGidb","Drug-Gene Interation",""
"OPRM1","Gene","agonist","4F-MT-45","Drug","DGidb","Drug-Gene Interation",""
"GRIN2D","Gene","antagonist","LY233053","Drug","DGidb","Drug-Gene Interation",""
"EGFR","Gene","inhibitor","PELITINIB","Drug","DGidb","Drug-Gene Interation",""
"RARA","Gene","agonist","BMS753","Drug","DGidb","Drug-Gene Interation",""
"PTGER1","Gene","antagonist","ONO-8713","Drug","DGidb","Drug-Gene Interation",""
"PNP","Gene","inhibitor","FORODESINE HYDROCHLORIDE","Drug","DGidb","Drug-Gene Interation",""
"L3MBTL3","Gene","agonist","UNC1215","Drug","DGidb","Drug-Gene Interation",""
"CHRM4","Gene","antagonist","UMECLIDINIUM","Drug","DGidb","Drug-Gene Interation",""
"CDK18","Gene","inhibitor","COMPOUND 77","Drug","DGidb","Drug-Gene Interation","24793884"
"ANO1","Gene","blocker","DIDS","Drug","DGidb","Drug-Gene Interation",""
"ALK","Gene","inhibitor","BELIZATINIB","Drug","DGidb","Drug-Gene Interation",""
"HTR1A","Gene","antagonist","MESORIDAZINE","Drug","DGidb","Drug-Gene Interation",""
"TRPM2","Gene","blocker","FLUFENAMIC ACID","Drug","DGidb","Drug-Gene Interation",""
"GABRP","Gene","positive modulator","FLURAZEPAM HYDROCHLORIDE","Drug","DGidb","Drug-Gene Interation",""
"SLC12A3","Gene","inhibitor","HYDROCHLOROTHIAZIDE","Drug","DGidb","Drug-Gene Interation",""
"CALCR","Gene","agonist","[125I]CT (SALMON)","Drug","DGidb","Drug-Gene Interation",""
"CCKBR","Gene","agonist","GASTRIN-71","Drug","DGidb","Drug-Gene Interation",""
"KCNB2","Gene","blocker","DALFAMPRIDINE","Drug","DGidb","Drug-Gene Interation",""
"FYN","Gene","inhibitor","TG100-801","Drug","DGidb","Drug-Gene Interation",""
"CSF1R","Gene","inhibitor","SUNITINIB MALATE","Drug","DGidb","Drug-Gene Interation",""
