InteractorA,Relation,InteractorB,PMID
ALK,inhibitor,NVP-TAE684,
PTGS2,inhibitor,MELOXICAM,
HDAC3,inhibitor,CUDC-101,
TUBB2B,inhibitor,BRENTUXIMAB VEDOTIN,
CHEK1,inhibitor,AZD7762,
TGFBR1,inhibitor,COMPOUND 13D,23639540
PDPK1,inhibitor,BX-912,
CHRM5,antagonist,HEXAHYDROSILADIFENIDOL,
CDK7,inhibitor,TG-02,
FLT3,inhibitor,KW-2449,
MCHR1,agonist,AC-HMCH-(6-16)-NH2,
EDNRA,antagonist,AMBRISENTAN,
MT-ND2,inhibitor,NV-128,
SLCO2B1,inhibitor,ERLOTINIB,
ADRA1B,agonist,ERGOTAMINE TARTRATE,
HRH1,antagonist,MEPYRAMINE,
KIT,inhibitor,SORAFENIB,
ADRA1A,agonist,PHENYLEPHRINE BITARTRATE,
SGK2,inhibitor,COMPOUND 14N,25589934
ABCC5,inhibitor,SILDENAFIL,
ADRB2,agonist,INDACATEROL,
CA9,inhibitor,COMPOUND 5B ,31287314
MTNR1A,agonist,5-HEAT,
KDR,inhibitor,MOTESANIB,
AQP2,inhibitor,HG2+,
SSTR2,agonist,VAPREOTIDE,
EGFR,inhibitor,MOBOCERTINIB,
HCRTR1,antagonist,SB-649868,
PTGER4,agonist,BUTAPROST (FREE ACID FORM),
DHFR,inhibitor,COMPOUND 9,15615544
HRH3,agonist,N-METHYLHISTAMINE,
VIPR2,agonist,[125I]PACAP-27,
CHRNA9,antagonist,RGIA4,
PIK3C2G,inhibitor,GDC-0980,
HTR1B,agonist,2-METHYL-5-HT,
HRH4,agonist,N-ETHYLHISTAMINE,
DRD2,antagonist,RACLOPRIDE,
CHRNA10,antagonist,STRYCHNINE,
SRC,inhibitor,VANDETANIB,
CDK1,inhibitor,BAY1000394,
TRPM4,inhibitor,ADP,
GRM3,agonist,LY379268,
GABRA5,agonist,ISOGUVACINE,
IL17A,inhibitor,SECUKINUMAB,
TUBA1C,inhibitor,VINBLASTINE SULFATE,
SCN9A,blocker,PHENYTOIN,
AURKC,inhibitor,COMPOUND 38,20817473
CD22,antibody,MOXETUMOMAB PASUDOTOX,
KDR,inhibitor,Apatinib,
GUCY1B2,activator,ISOSORBIDE DINITRATE,
DRD2,antagonist,ASENAPINE MALEATE,
TESK2,inhibitor,COMPOUND 30,22902653
HTR2C,antagonist,METERGOLINE,
CYSLTR1,antagonist,MONTELUKAST,
GJC3,inhibitor,CARBENOXOLONE,
FFAR2,antagonist,GLPG0974,
HTR2A,antagonist,CLOZAPINE,
SIGMAR1,antagonist,FLUVOXAMINE,
FLT4,inhibitor,SORAFENIB TOSYLATE,
EGFR,inhibitor,ALLITINIB,
KCNJ1,blocker,BA2+,
MAP2K2,inhibitor,Refametinib,
EGFR,inhibitor,AZD-4769,
DRD3,antagonist,HALOPERIDOL,
DRD4,antagonist,(+)-SULPIRIDE,
PIK3R6,inhibitor,PKI-587,
DRD3,antagonist,ETICLOPRIDE,
SOST,inhibitor,BLOSOZUMAB,
LIPE,inhibitor,COMPOUND 41,15026062
EGFR,inhibitor,WZ4002,
CYP2D6,inhibitor,TIQ-15,
NTRK2,inhibitor,GNF-5837,
SSTR4,agonist,[125I]TYR11-SRIF-14,
DRD3,inverse agonist,HALOPERIDOL DECANOATE,
HCAR1,agonist,L-LACTIC ACID,
ESR1,agonist,STANOZOLOL,
SSTR1,agonist,[125I]CGP 23996,
ABCC1,inhibitor,COMPOUND 14,30925062
HDAC7,inhibitor,TACEDINALINE,
CHRM3,antagonist,MEPENZOLIC ACID,
GABRB3,positive modulator,CLORAZEPATE DIPOTASSIUM,
TEK,inhibitor,CE-245677,
GRIA2,allosteric modulator,CYCLOTHIAZIDE,
SLC6A3,inhibitor,TRIMIPRAMINE,
SMO,antagonist,VISMODEGIB,
GRM2,allosteric modulator,COMPOUND 2,21105727
BDKRB1,antagonist,BI113823,
ADRA1B,agonist,PHENYLEPHRINE,
KCNN2,blocker,TETRAETHYLAMMONIUM,
HTR1A,agonist,GR 127935,
FLT4,inhibitor,CEP-5214,
HTR2A,antagonist,CHLORPROMAZINE,
PDE4D,inhibitor,DIPYRIDAMOLE,
NPSR1,antagonist,QA1,
GRPR,antagonist,[D-PHE6]BOMBESIN(6-13)PROPYLAMIDE,
HTR6,agonist,CAPESEROD,
P2RY12,antagonist,REGRELOR,
CCR2,antagonist,RS-102895,
GABRA1,positive modulator,THIAMYLAL SODIUM,
OPRM1,agonist,4F-MT-45,
GRIN2D,antagonist,LY233053,
EGFR,inhibitor,PELITINIB,
RARA,agonist,BMS753,
PTGER1,antagonist,ONO-8713,
PNP,inhibitor,FORODESINE HYDROCHLORIDE,
L3MBTL3,agonist,UNC1215,
CHRM4,antagonist,UMECLIDINIUM,
CDK18,inhibitor,COMPOUND 77,24793884
ANO1,blocker,DIDS,
ALK,inhibitor,BELIZATINIB,
HTR1A,antagonist,MESORIDAZINE,
TRPM2,blocker,FLUFENAMIC ACID,
GABRP,positive modulator,FLURAZEPAM HYDROCHLORIDE,
SLC12A3,inhibitor,HYDROCHLOROTHIAZIDE,
CALCR,agonist,[125I]CT (SALMON),
CCKBR,agonist,GASTRIN-71,
KCNB2,blocker,DALFAMPRIDINE,
FYN,inhibitor,TG100-801,
CSF1R,inhibitor,SUNITINIB MALATE,
SLC1A1,inhibitor,L-ëÕ-BA,
KCNQ2,activator,PIP2,
CCR2,antagonist,VIRAL MACROPHAGE INFLAMMATORY PROTEIN-II,
HTR6,antagonist,RO 63-0563,
SCN10A,blocker,ARTICAINE HYDROCHLORIDE,
FLT1,inhibitor,DOVITINIB,
MPL,agonist,ROMIPLOSTIM,
KDR,inhibitor,Henatinib,
CHRNA10,antagonist,ëÔ-CONOTOXIN RGIA,
PRKCG,inhibitor,RUBOXISTAURIN,
PIK3C2B,inhibitor,BYL719,
PIK3C3,inhibitor,PKI-587,
AKT3,inhibitor,GSK2126458,
FLT1,inhibitor,DOVITINIB,
GRIA2,antagonist,PERAMPANEL,
TRPC3,blocker,NORGESTIMATE,
TOP2A,inhibitor,AMRUBICIN,
PIK3CB,inhibitor,KU-0060648,
HTR1A,partial agonist,BUSPIRONE HYDROCHLORIDE,
KDR,inhibitor,Famitinib,
SCN9A,blocker,TETRODOTOXIN,
ADRB2,agonist,SOLABEGRON,
FRK,inhibitor,NINTEDANIB,
HSD11B1,inhibitor,BMS-823778,
RIPK2,inhibitor,GSK583,
ADRB1,agonist,DENOPAMINE,
P2RY6,agonist,UP3U,
BCAT2,inhibitor,COMPOUND 27,26938474
HDAC4,inhibitor,TMP269,
RIPK1,inhibitor,RIPA-56,
INSR,agonist,INSULIN ZINC SUSP RECOMBINANT HUMAN,
PSMD2,inhibitor,IXAZOMIB CITRATE,
IL6R,inhibitor,TOCILIZUMAB,
P2RY6,agonist,2MESATP,
ADRA1B,agonist,EPINEPHRINE,
EGFR,inhibitor,TESEVATINIB,
CSF1R,inhibitor,KI-20227,
TRPC3,activator,OAG,
RPS6KA3,inhibitor,COMPOUND 25B,22564207
SCN3A,blocker,DRONEDARONE HYDROCHLORIDE,
NR3C1,agonist,METHYLPREDNISOLONE ACETATE,
FPR2,antagonist,COMPOUND 1754-31,23788657
DHFR,inhibitor,PRALATREXATE,
ABL1,inhibitor,COMPOUND 2C,24900538
EGFR,inhibitor,POZIOTINIB,
KCNA10,blocker,VERAPAMIL,
AKT3,inhibitor,UPROSERTIB,
SLC2A1,allosteric modulator,COMPOUND 30,22468970
AVPR1A,antagonist,SRX251,
ROS1,inhibitor,HESPERADIN,
B4GALNT1,antibody,DINUTUXIMAB,
CDK9,inhibitor,SELICICLIB,
CHRNG,antagonist,ROCURONIUM BROMIDE,
TPSAB1,inhibitor,RWJ-56423,
PTGER3,agonist,DINOPROSTONE,
PTGER1,agonist,ILOPROST,
ALK,inhibitor,X-396,
IGF1R,antibody,AMG-479,
GALR1,agonist,M242,
PRMT3,inhibitor,MS023,
GABRG2,positive modulator,ZALEPLON,
KIT,inhibitor,4'-N-BENZOYLSTAUROSPORINE,
PDE4B,inhibitor,CRISABOROLE,
CACNA1C,blocker,AMLODIPINE BESYLATE,
HTR2B,agonist,BW723C86,
PIK3CA,inhibitor,ACALISIB,
MCHR1,antagonist,GW803430,
LCK,inhibitor,PAZOPANIB HYDROCHLORIDE,
KDR,inhibitor,CS2164,
IDO1,inhibitor,LW106,
FGFR3,inhibitor,TAK-632,
NTRK2,inhibitor,CEP-11981,
TTK,inhibitor,RO3280,
KCNA5,blocker,FLECAINIDE,
HRH1,antagonist,KETOTIFEN,
PIM1,inhibitor,LGH-447,
KLK3,inhibitor,ECALLANTIDE,
ERBB2,inhibitor,OSIMERTINIB MESYLATE,
CHRNB2,agonist,NICOTINE,
LCK,inhibitor,WH-4-023,
PIK3CB,inhibitor,BYL719,
ADRA2B,antagonist,TERGURIDE,
EGFR,inhibitor,DACOMITINIB,
HRH1,antagonist,HYDROXYZINE HYDROCHLORIDE,
PTGER4,agonist,MRE-269,
ADRA1A,agonist,(-)-NORADRENALINE,
BLK,inhibitor,COMPOUND 2,15546730
GJB3,inhibitor,OCTANOL,
OPRM1,antagonist,SAMIDORPHAN,
CDK2,inhibitor,ICEC0942,
FPR2,agonist,RVD1-ME,
HRH1,antagonist,(-)-TRANS-H2-PAT,
NDUFB6,inhibitor,NV-128,
GRIN1,antagonist,AV-101,
CASR,modulator,TECALCET HYDROCHLORIDE,
CSNK1E,inhibitor,UMBRALISIB,
PTGS1,inhibitor,PHENYLBUTAZONE,
AR,agonist,TESTOSTERONE PROPIONATE,
NTRK3,inhibitor,REPOTRECTINIB,
ADORA2A,antagonist,THEOPHYLLINE,
GRIN2D,blocker,MG2+,
AURKB,inhibitor,TOZASERTIB,
EZH2,inhibitor,EI1,
MERTK,inhibitor,UNC4203,
HDAC9,inhibitor,SB939,
GABRA1,allosteric modulator,MRK016,
GLRA1,antagonist,STRYCHNINE,
TYMS,inhibitor,PEMETREXED DISODIUM,
RIPK1,inhibitor,COMPOUND 21,24900635
ESR1,"agonist,antagonist",TAMOXIFEN,
GRIA1,antagonist,ATPO,
SCN10A,blocker,FOSPHENYTOIN SODIUM,
KCNQ4,inhibitor,XE991,
PTGDR2,agonist,INDOMETHACIN,
TRPV1,antagonist,PAC-14028,
FPR2,antagonist,FPRL1-INHIBITOR PROTEIN,
ADRB2,agonist,ISOPROTERENOL SULFATE,
PIK3C2B,inhibitor,BAY80-6946,
ERN1,inhibitor,COMPOUND 34,24749861
SCN1A,blocker,RUFINAMIDE,
MAP2K1,allosteric modulator,TAK-733,
SLC6A4,inhibitor,LEVOMILNACIPRAN,
MC4R,agonist,BREMELANOTIDE,
DRD4,agonist,DOPAMINE,
TYK2,inhibitor,FEDRATINIB,
ODC1,inhibitor,EFLORNITHINE HYDROCHLORIDE HYDRATE,
ALOX15,inhibitor,ML351,
TRPM1,blocker,ZN2+,
GRM2,allosteric modulator,AZD8529,
VEGFA,inhibitor,SORAFENIB TOSYLATE,
PTH2R,agonist,TERIPARATIDE,
TLR7,agonist,IMIQUIMOD,
HDAC1,inhibitor,TUBASTATIN A,
NDUFB9,inhibitor,NV-128,
PRKCA,inhibitor,ENZASTAURIN,
KIT,inhibitor,TANDUTINIB,
CRBN,inhibitor,POMALIDOMIDE,
HTR1E,agonist,5-MEO-DMT,
HRH3,antagonist,GSK189254,
AGTR2,agonist,ANGIOTENSIN III,
PSMC2,inhibitor,BORTEZOMIB,
CA1,inhibitor,ACETAZOLAMIDE SODIUM,
RXFP1,agonist,RELAXIN,
PIK3CG,inhibitor,PI 3-KG INHIBITOR II,
CHRM2,allosteric modulator,GÌÐ 7874,
S1PR5,agonist,SIPONIMOD,
OPRD1,antagonist,METHYLNALTREXONE,
CDK8,inhibitor,PONATINIB,
PSMA2,inhibitor,IXAZOMIB CITRATE,
HRH1,agonist,2-(3-BROMOPHENYL)HISTAMINE,
FLT4,inhibitor,VANDETANIB,
DRD2,antagonist,ILOPERIDONE,
ADRB1,agonist,(-)-RO 363,
EDNRA,agonist,"[18F]ET-1 (HUMAN, MOUSE, RAT)",
SRC,inhibitor,PD-0166285,
KCNK9,inhibitor,R-(+)-METHANANDAMIDE,
HDAC2,inhibitor,SCRIPTAID,
HIPK2,inhibitor,COMPOUND 1A,24900749
MAP2K2,allosteric modulator,COBIMETINIB,
AURKA,inhibitor,ALISERTIB,
FSHR,agonist,HUMAN FSH,
ACHE,inhibitor,ISOFLUROPHATE,
DRD1,antagonist,METHYLERGONOVINE MALEATE,
KDR,inhibitor,FORETINIB,
NR1H2,agonist,DESMOSTEROL,
VIPR2,agonist,HELODERMIN,
CHRM3,antagonist,GLYCOPYRROLATE BROMIDE,
SLC12A1,inhibitor,ETHACRYNATE SODIUM,
GRPR,agonist,BOMBESIN,
PTGER4,agonist,CARBACYCLIN,
DRD3,agonist,PERGOLIDE MESYLATE,
GRM8,agonist,EGLUMEGAD,
AURKB,inhibitor,AT-9283,
BTK,inhibitor,CNX-774,
AURKA,inhibitor,PF-03814735,
ADRB3,agonist,EPINEPHRINE,
OPRL1,agonist,UFP-102,
TRPC3,blocker,LA3+,
LCK,inhibitor,COMPOUND 19A,21855335
ADRB2,agonist,SALMETEROL,
HTR2B,antagonist,SB 224289,
HTR1D,agonist,ZOLMITRIPTAN,
NT5E,inhibitor,AB680,
SLC1A6,inhibitor,THREO-3-METHYLGLUTAMATE,
PIK3C2G,inhibitor,BGJ398,
HTR5A,agonist,[3H]5-CT,
PIK3R4,inhibitor,PI-103,
GPR119,agonist,COMPOUND 8G,21444206
PIK3CG,inhibitor,AZD6482,
CHRM3,agonist,ACETYLCHOLINE CHLORIDE,
GABRA6,positive modulator,TEMAZEPAM,
ATAD2,inhibitor,COMPOUND 33,26230603
PIK3CD,inhibitor,TASELISIB,
FPR2,agonist,ATLA2,
BACE2,inhibitor,EXAMPLE 98,
HDAC1,inhibitor,ROMIDEPSIN,
FLT3,inhibitor,MERESTINIB,
TBXA2R,agonist,CLOPROSTENOL,
DRD3,agonist,LEVODOPA,
ERBB4,inhibitor,PELITINIB,
UBA3,inhibitor,PEVONEDISTAT,
CHRM3,antagonist,HEXAHYDROSILADIFENIDOL,
MTOR,inhibitor,PP121,
CNR2,agonist,Tedalinab,
FGFR1,inhibitor,PEMIGATINIB,
CCR2,allosteric modulator,AZD2423,
FPR3,agonist,FMET-MET-TYR-ALA-LEU-PHE,
CACNA1C,blocker,DILTIAZEM,
RIPK1,inhibitor,PONATINIB,
ERBB2,inhibitor,AC-480,
HTR1D,agonist,NARATRIPTAN HYDROCHLORIDE,
KIT,inhibitor,DOVITINIB,
CHRM1,allosteric modulator,"WIN 62,577",
GRM2,allosteric modulator,[3H]JNJ-40068782,
TUBA1B,inhibitor,VINORELBIN DITARTRATE,
GABRA4,positive modulator,CHLORDIAZEPOXIDE HYDROCHLORIDE,
RARB,agonist,CD666,
NTRK1,inhibitor,GR-389988,
MMP13,inhibitor,APRATASTAT,
GC,inhibitor,ANISINDIONE,
ADRA2A,agonist,CLONIDINE,
ADRA1D,antagonist,RS-100329,
AURKB,inhibitor,DANUSERTIB,
NR1H3,agonist,24(S)-HYDROXYCHOLESTEROL,
NUAK1,inhibitor,CERDULATINIB,
PDE4A,inhibitor,AMINOPHYLLINE,
GRIN2C,antagonist,SELFOTEL,
KDR,inhibitor,CEDIRANIB,
GPR119,agonist,COMPOUND 1,21939274
HDAC1,inhibitor,SCRIPTAID,
CDC7,inhibitor,NMS-1116354,
ENPP2,inhibitor,EXAMPLE 2,
PDE5A,inhibitor,SCH51866,
SIRT1,inhibitor,SELISISTAT,
CHRNA3,agonist,TC-6499,
HTR2C,antagonist,TRAZODONE HYDROCHLORIDE,
EDNRA,antagonist,BOSENTAN,
OPRL1,agonist,NOCICEPTIN/ORPHANIN FQ,
HTR3A,antagonist,VORTIOXETINE HYDROBROMIDE,
ACHE,inhibitor,NEOSTIGMINE,
FYN,inhibitor,COMPOUND 25,31260299
GNRHR,agonist,ALARELIN,
HTR5A,agonist,SUMATRIPTAN,
NR3C2,agonist,DEOXYCORTICOSTERONE,
HDAC9,inhibitor,PCI-24781,
CHRM5,antagonist,MUSCARINIC TOXIN 7,
PTGER4,antagonist,MK-2894,
NOX1,inhibitor,GKT136901,
SLC6A9,inhibitor,LY2365109,
SPR,antagonist,APREPITANT,
CHRM2,antagonist,HEXOCYCLIUM,
DPP8,inhibitor,COMPOUND 18,15664838
CHRNA1,antagonist,CISATRACURIUM BESYLATE,
PTH2R,antagonist,"PTHRP-(7-34) (HUMAN, RAT, MOUSE)",
FLT3,inhibitor,XL-999,
CASR,agonist,ETELCALCETIDE,
KCNH4,blocker,GUANIDINE HYDROCHLORIDE,
RIPK1,inhibitor,RIPK3 INHIBITOR 42,
CDK6,inhibitor,AT-7519,
HTR2A,antagonist,BREXPIPRAZOLE,
PIK3CD,inhibitor,APITOLISIB,
GJA8,inhibitor,FLUFENAMIC ACID,
CDK4,inhibitor,FASCAPLYSIN,
FAAH,inhibitor,ACETAMINOPHEN,
CASR,positive modulator,CINACALCET HYDROCHLORIDE,
SSTR4,agonist,H-,
CALCB,inhibitor,EPTINEZUMAB,
HRH3,agonist,GSK-189254,
FLT1,inhibitor,AXITINIB,
PDE6B,inhibitor,DIPYRIDAMOLE,
PIK3C3,inhibitor,PWT33597,
FLT1,inhibitor,L-21649,
TYK2,inhibitor,UPADACITINIB,
ADRA2C,agonist,XYLAZINE,
PTGDR2,antagonist,OC000459,
CACNG1,modulator,ATAGABALIN,
SCN5A,blocker,PROPAFENONE HYDROCHLORIDE,
TRPM3,activator,PREGNENOLONE SULPHATE,
TRPC4,blocker,M084,
BMP10,inhibitor,Delantercept,
MAPK14,inhibitor,AMG-548,
MAP2K1,allosteric modulator,BINIMETINIB,
SLC12A1,inhibitor,TORSEMIDE,
HRH1,agonist,HISTAMINE,
HRH1,antagonist,TRIMEPRAZINE TARTRATE,
FKBP1A,inhibitor,Olocrolimus,
ESR2,antagonist,BAZEDOXIFENE,
DRD2,agonist,MLS1547,
NDUFA2,inhibitor,NV-128,
GRM8,antagonist,LY341495,
HRH2,agonist,UR-PG146,
CALCR,agonist,CALCITONIN HUMAN,
ADORA3,antagonist,ISTRADEFYLLINE,
ACACB,inhibitor,TOFA,
HCRTR2,antagonist,SUVOREXANT,
PIK3R5,inhibitor,SOPHORETIN,
GPR17,agonist,ASN04885796,
ERBB2,antibody,PERTUZUMAB,
P2RY1,antagonist,2-CHLOROADENOSINE-5-TRIPHOSPHATE,
PTPN1,inhibitor,COMPOUND 7B,
CHEK1,inhibitor,CHIR-124,
JAK2,inhibitor,TG-02,
TACR1,agonist,SEPTIDE,
CYP3A4,inhibitor,COMPOUND 1A,18573659
FGFR3,inhibitor,ENMD-981693,
HCK,inhibitor,XL-228,
TRPV3,blocker,FORSYTHOSIDE B,
HTR6,antagonist,AMOXAPINE,
GHSR,antagonist,ABBOTT 14C,
MTNR1B,antagonist,LUZINDOLE,
GABRB2,positive modulator,PENTOBARBITAL SODIUM,
JAK1,inhibitor,JAK3 INHIBITOR 34,
ESR2,agonist,ESTRONE,
CACNB3,modulator,ATAGABALIN,
CNR2,agonist,TARANABANT,
HTR2C,antagonist,SPIPERONE,
HDAC4,inhibitor,ROMIDEPSIN,
HTR2A,agonist,5-CT,
MMP8,inhibitor,DOXYCYCLINE HYDRATE,
HDAC4,inhibitor,PANOBINOSTAT,
ACVR1B,inhibitor,COMPOUND 13R,23639540
OPRK1,partial agonist,LEVALLORPHAN TARTRATE,
HPSE,inhibitor,MUPARFOSTAT,
AVPR2,antagonist,ATOSIBAN,
FLT4,inhibitor,FORETINIB,
SLC18A2,inhibitor,LISDEXAMFETAMINE DIMESYLATE,
SSTR1,agonist,KE 108,
P2RY6,agonist,3-PHENACYL-UDP,
BACE1,inhibitor,TAK-070,
GRM2,allosteric modulator,MNI-137,
AURKC,inhibitor,GSK1070916,
ADRB2,agonist,LEVALBUTEROL TARTRATE,
LTK,inhibitor,COMPOUND 8E,24432909
SCN8A,blocker,OXCARBAZEPINE,
CHRM3,antagonist,METHSCOPOLAMINE BROMIDE,
ADRA2C,agonist,DEXMEDETOMIDINE,
PSMB8,inhibitor,CARFILZOMIB,
MAP3K3,inhibitor,COMPOUND 5N,20483621
