"InteractorA"	"Relation"	"InteractorB"
"Vitamin D3"	"IL1B"	"PANCREATIC CANCER"
"Vitamin D3"	"NEUROD1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"NEUROD1"	"OBESITY"
"Vitamin D3"	"NEUROD1"	"SCHIZOPHRENIA"
"Vitamin D3"	"NEUROD1"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"NEUROD1"	"TYPE 2 DIABETES MELLITUS"
"Vitamin D3"	"GC"	"BREAST CANCER"
"Vitamin D3"	"GC"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"GC"	"PANCREATIC CANCER"
"Vitamin D3"	"CRP"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"CRP"	"OBESITY"
"Vitamin D3"	"CRP"	"KAWASAKI DISEASE"
"Vitamin D3"	"GBAP1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"GBAP1"	"RHEUMATOID ARTHRITIS"
"Vitamin D3"	"GBAP1"	"ALZHEIMER DISEASE 3"
"Vitamin D3"	"GBAP1"	"OBESITY"
"Vitamin D3"	"DNMT1"	"OVARIAN CANCER"
"Vitamin D3"	"DNMT1"	"PANCREATIC CANCER"
"Vitamin D3"	"DFFB"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"DFFB"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"DFFB"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"DFFB"	"STROKE, ISCHEMIC"
"Vitamin D3"	"NQO1"	"BREAST CANCER"
"Vitamin D3"	"NQO1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"NQO1"	"PROSTATE CANCER"
"Vitamin D3"	"NQO1"	"ALZHEIMER DISEASE 3"
"Vitamin D3"	"NQO1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Vitamin D3"	"NQO1"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"NQO1"	"PANCREATIC CANCER"
"Vitamin D3"	"PSEN1"	"BREAST CANCER"
"Vitamin D3"	"PSEN1"	"SCHIZOPHRENIA"
"Vitamin D3"	"TGFB1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"TGFB1"	"PROSTATE CANCER"
"Vitamin D3"	"TGFB1"	"OBESITY"
"Vitamin D3"	"TGFB1"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"MIR146A"	"BREAST CANCER"
"Vitamin D3"	"MIR146A"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"MIR146A"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"MIR146A"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"DDB2"	"PANCREATIC CANCER"
"Vitamin D3"	"ADIPOQ"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"ADIPOQ"	"BLOOD GROUP, Ss"
"Vitamin D3"	"ADIPOQ"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Vitamin D3"	"ADIPOQ"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"GLS"	"RHEUMATOID ARTHRITIS"
"Vitamin D3"	"GLS"	"GASTRIC CANCER"
"Vitamin D3"	"CAT"	"OBESITY"
"Vitamin D3"	"NANOG"	"BREAST CANCER"
"Vitamin D3"	"NANOG"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"NANOG"	"PANCREATIC CANCER"
"Vitamin D3"	"IL4"	"BREAST CANCER"
"Vitamin D3"	"IL4"	"OBESITY"
"Vitamin D3"	"IL4"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Vitamin D3"	"IL4"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"ACOD1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"ACOD1"	"ALZHEIMER DISEASE"
"Vitamin D3"	"ACOD1"	"HOMOCYSTEINEMIA"
"Vitamin D3"	"ACOD1"	"SCHIZOPHRENIA"
"Vitamin D3"	"ACOD1"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"ACOD1"	"STROKE, ISCHEMIC"
"Vitamin D3"	"IL10"	"BREAST CANCER"
"Vitamin D3"	"IL10"	"BLOOD GROUP, Ss"
"Vitamin D3"	"IL10"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Vitamin D3"	"IL10"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Vitamin D3"	"IL10"	"OVARIAN CANCER"
"Vitamin D3"	"IL10"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"IL10"	"STROKE, ISCHEMIC"
"Vitamin D3"	"IL10"	"KAWASAKI DISEASE"
"Vitamin D3"	"MTHFR"	"OBESITY"
"Vitamin D3"	"MTHFR"	"HOMOCYSTEINEMIA"
"Vitamin D3"	"COX2"	"SCHIZOPHRENIA"
"Vitamin D3"	"IL6"	"BREAST CANCER"
"Vitamin D3"	"IL6"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"IL6"	"BLOOD GROUP, Ss"
"Vitamin D3"	"IL6"	"PROSTATE CANCER"
"Vitamin D3"	"IL6"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Vitamin D3"	"IL6"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"IL6"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"IL6"	"PANCREATIC CANCER"
"Vitamin D3"	"IGHD1-14"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"IGHD1-14"	"SCHIZOPHRENIA"
"Vitamin D3"	"IGHD1-14"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"IGHD1-14"	"STROKE, ISCHEMIC"
"Inosine"	"TNF"	"BREAST CANCER"
"Inosine"	"TNF"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"TNF"	"OSTEOARTHRITIS SUSCEPTIBILITY 1"
"Inosine"	"TNF"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"TNF"	"ALZHEIMER DISEASE 3"
"Inosine"	"TNF"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"TNF"	"PANCREATIC CANCER"
"Inosine"	"TNF"	"CYSTIC FIBROSIS"
"Inosine"	"SOD1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"SOD1"	"AUTOIMMUNE DISEASE"
"Inosine"	"SOD1"	"ALZHEIMER DISEASE 3"
"Inosine"	"STAT1"	"BREAST CANCER"
"Inosine"	"STAT1"	"RHEUMATOID ARTHRITIS"
"Inosine"	"STAT1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"STAT1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"STAT1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"STAT1"	"LUNG CANCER"
"Inosine"	"STAT1"	"CYSTIC FIBROSIS"
"Inosine"	"KRAS"	"BREAST CANCER"
"Inosine"	"KRAS"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"APP"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"APP"	"ALZHEIMER DISEASE 3"
"Inosine"	"SPHK1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"SPHK1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"SPHK1"	"KAWASAKI DISEASE"
"Inosine"	"IGKV1-27"	"AUTOIMMUNE DISEASE"
"Inosine"	"IGKV1-27"	"RHEUMATOID ARTHRITIS"
"Inosine"	"IGKV1-27"	"CYSTIC FIBROSIS"
"Inosine"	"GSTP1"	"BREAST CANCER"
"Inosine"	"GSTP1"	"RHEUMATOID ARTHRITIS"
"Inosine"	"GSTP1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"GSTP1"	"ALZHEIMER DISEASE 3"
"Inosine"	"GSTP1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"GSTP1"	"LUNG CANCER"
"Inosine"	"NOS3"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"NOS3"	"ALZHEIMER DISEASE 3"
"Inosine"	"NOS3"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"IL22"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"IL22"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"IL22"	"KAWASAKI DISEASE"
"Inosine"	"IL22"	"CYSTIC FIBROSIS"
"Inosine"	"FN1"	"BREAST CANCER"
"Inosine"	"FN1"	"ALZHEIMER DISEASE 3"
"Inosine"	"FN1"	"PANCREATIC CANCER"
"Inosine"	"IRF8"	"AUTOIMMUNE DISEASE"
"Inosine"	"IRF8"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"IRF8"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"FOXO1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"FOXO1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"FOXO1"	"ALZHEIMER DISEASE 3"
"Inosine"	"HMOX1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"HMOX1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"HMOX1"	"ALZHEIMER DISEASE 3"
"Inosine"	"HMOX1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"HMOX1"	"CYSTIC FIBROSIS"
"Inosine"	"NFKB1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"NFKB1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"NFKB1"	"ALZHEIMER DISEASE 3"
"Inosine"	"NFKB1"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"NFKB1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"CD68"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"VEGFA"	"BREAST CANCER"
"Inosine"	"VEGFA"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"VEGFA"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"VEGFA"	"ALZHEIMER DISEASE 3"
"Inosine"	"VEGFA"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"CXCL12"	"BREAST CANCER"
"Inosine"	"CXCL12"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"CXCL12"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"CXCL12"	"CYSTIC FIBROSIS"
"Inosine"	"HDAC9"	"BREAST CANCER"
"Inosine"	"HDAC9"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"HDAC9"	"ALZHEIMER DISEASE 3"
"Inosine"	"HDAC9"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"BCL2"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"BCL2"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"BCL2"	"ALZHEIMER DISEASE 3"
"Inosine"	"LCN2"	"BREAST CANCER"
"Inosine"	"LCN2"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"LCN2"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"LCN2"	"GASTRIC CANCER"
"Inosine"	"LCN2"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"LCN2"	"CYSTIC FIBROSIS"
"Inosine"	"CAD"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"CAD"	"RHEUMATOID ARTHRITIS"
"Inosine"	"CAD"	"KAWASAKI DISEASE"
"Inosine"	"SIRT1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"SIRT1"	"AUTOIMMUNE DISEASE"
"Inosine"	"SIRT1"	"OSTEOARTHRITIS SUSCEPTIBILITY 1"
"Inosine"	"SIRT1"	"ALZHEIMER DISEASE 3"
"Inosine"	"IRF5"	"AUTOIMMUNE DISEASE"
"Inosine"	"IRF5"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"IRF5"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"IRF1"	"GASTRIC CANCER"
"Inosine"	"PTBP1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"PTBP1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"PTBP1"	"KAWASAKI DISEASE"
"Inosine"	"IL13"	"BREAST CANCER"
"Inosine"	"IL13"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"AHR"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"AHR"	"PANCREATIC CANCER"
"Inosine"	"LGALS3"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"LGALS3"	"PANCREATIC CANCER"
"Inosine"	"LGALS3"	"CYSTIC FIBROSIS"
"Inosine"	"IL1B"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"IL1B"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"IL1B"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"IL1B"	"PANCREATIC CANCER"
"Inosine"	"IL1B"	"CYSTIC FIBROSIS"
"Inosine"	"TNFRSF1B"	"CYSTIC FIBROSIS"
"Inosine"	"CCL2"	"BREAST CANCER"
"Inosine"	"CCL2"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"CCL2"	"AUTOIMMUNE DISEASE"
"Inosine"	"CCL2"	"ALZHEIMER DISEASE 3"
"Inosine"	"CCL2"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"PTEN"	"BREAST CANCER"
"Inosine"	"PTEN"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"PTEN"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"PTEN"	"ALZHEIMER DISEASE 3"
"Inosine"	"PTEN"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"TP53"	"BREAST CANCER"
"Inosine"	"TP53"	"ALZHEIMER DISEASE 3"
"Inosine"	"TP53"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"RAPGEF3"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"HSPG2"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"HSPG2"	"ALZHEIMER DISEASE 3"
"Inosine"	"ACE"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"ACE"	"ALZHEIMER DISEASE 3"
"Inosine"	"ACE"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"JUN"	"BREAST CANCER"
"Inosine"	"JUN"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"JUN"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"JUN"	"PANCREATIC CANCER"
"Inosine"	"PPARA"	"BREAST CANCER"
"Inosine"	"PPARA"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"PPARA"	"CYSTIC FIBROSIS"
"Inosine"	"KEAP1"	"BREAST CANCER"
"Inosine"	"KEAP1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"RELA"	"BREAST CANCER"
"Inosine"	"RELA"	"RHEUMATOID ARTHRITIS"
"Inosine"	"RELA"	"GASTRIC CANCER"
"Inosine"	"IL1A"	"AUTOIMMUNE DISEASE"
"Inosine"	"IL1A"	"ALZHEIMER DISEASE 3"
"Inosine"	"EGFR"	"BREAST CANCER"
"Inosine"	"EGFR"	"ALZHEIMER DISEASE 3"
"Inosine"	"EGFR"	"CYSTIC FIBROSIS"
"Inosine"	"IDO1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"IDO1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"NOTCH1"	"ALZHEIMER DISEASE 3"
"Inosine"	"NOTCH1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"MMP2"	"BREAST CANCER"
"Inosine"	"MMP2"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"MMP2"	"KAWASAKI DISEASE"
"Inosine"	"MMP9"	"BREAST CANCER"
"Inosine"	"MMP9"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"MMP9"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"KLF4"	"BREAST CANCER"
"Inosine"	"CDKN1A"	"BREAST CANCER"
"Inosine"	"CDKN1A"	"PANCREATIC CANCER"
"Inosine"	"SLC2A1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"SLC2A1"	"ALZHEIMER DISEASE 3"
"Inosine"	"SLC2A1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"SLC2A1"	"CYSTIC FIBROSIS"
"Inosine"	"TGFB1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"TGFB1"	"ALZHEIMER DISEASE 3"
"Inosine"	"TGFB1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"MIR146A"	"BREAST CANCER"
"Inosine"	"MIR146A"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"MIR146A"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"MIR146A"	"ALZHEIMER DISEASE 3"
"Inosine"	"MIR146A"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"NR1H4"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"NR1H4"	"PANCREATIC CANCER"
"Inosine"	"ADIPOQ"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"ADIPOQ"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"ADIPOQ"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"PRRT2"	"BREAST CANCER"
"Inosine"	"PRRT2"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"PRKAA1"	"BREAST CANCER"
"Inosine"	"PRKAA1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"PRKAA1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"PRKAA1"	"ALZHEIMER DISEASE 3"
"Inosine"	"PRKAA1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"PRKAA1"	"CYSTIC FIBROSIS"
"Inosine"	"ASF1A"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"ASF1A"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"MAPK1"	"BREAST CANCER"
"Inosine"	"MAPK1"	"RHEUMATOID ARTHRITIS"
"Inosine"	"MAPK1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"MAPK1"	"GASTRIC CANCER"
"Inosine"	"MAPK1"	"OSTEOARTHRITIS SUSCEPTIBILITY 1"
"Inosine"	"MAPK1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Inosine"	"MAPK1"	"ALZHEIMER DISEASE 3"
"Inosine"	"MAPK1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"MAPK1"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"MAPK1"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"MAPK1"	"LUNG CANCER"
"Inosine"	"MAPK1"	"PANCREATIC CANCER"
"Inosine"	"MAPK1"	"CYSTIC FIBROSIS"
"Inosine"	"AKT1"	"BREAST CANCER"
"Inosine"	"AKT1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"AKT1"	"RHEUMATOID ARTHRITIS"
"Inosine"	"AKT1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"AKT1"	"GASTRIC CANCER"
"Inosine"	"AKT1"	"OSTEOARTHRITIS SUSCEPTIBILITY 1"
"Inosine"	"AKT1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"AKT1"	"NASOPHARYNGEAL CARCINOMA"
"Inosine"	"AKT1"	"LUNG CANCER"
"Inosine"	"AKT1"	"PANCREATIC CANCER"
"Inosine"	"NFE2L2"	"BREAST CANCER"
"Inosine"	"NFE2L2"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Inosine"	"NFE2L2"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Inosine"	"NFE2L2"	"GASTRIC CANCER"
"Inosine"	"NFE2L2"	"ALZHEIMER DISEASE 3"
"Inosine"	"NFE2L2"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Inosine"	"NFE2L2"	"TYPE 1 DIABETES MELLITUS"
"Inosine"	"NFE2L2"	"LUNG CANCER"
"Inosine"	"NFE2L2"	"PANCREATIC CANCER"
"Inosine"	"MAPK14"	"BREAST CANCER"
"Inosine"	"MAPK14"	"RHEUMATOID ARTHRITIS"
